text,label,label_name,text_original,tokenized_text,sent_token_length,sent_bert_token_length,char_count,Character Count
renzo crispin javier güere baluarte se pasaron de burros 🤣,0,Negative,Renzo Crispin Javier Güere Baluarte se pasaron de burros 🤣,renzo crispin javier güere baluarte se pasaron de burros 🤣,10,15,58,58
chino risas pa que llevas a tus maleteros 🤡🤡🤡,0,Negative,chino risas pa que llevas a tus maleteros 🤡🤡🤡,chino risas pa que llevas a tus maleteros 🤡🤡🤡,9,10,45,45
estudia p chato 😵‍💫🙈,0,Negative,Estudia p chato 😵‍💫🙈,estudia p chato 😵‍💫🙈,4,4,20,20
"no seas pendejo, jaja tatuaje borra entonces... 😂",0,Negative,"No seas pendejo, jajajajaja tatuaje borra entonces... 😂",no seas pendejo  jaja tatuaje borra entonces    😂,8,9,49,49
todas las autoridades y las actuales son culpables que kuelap se encuentre en esta situación. son una tira de incapaces 😡,0,Negative,Todas las autoridades y las actuales son culpables que Kuelap se encuentre en esta situación. Son una tira de incapaces 😡,todas las autoridades y las actuales son culpables que kuelap se encuentre en esta situación  son una tira de incapaces 😡,21,23,121,121
lo que me preocupa es que el perrito está tranquilo y feliz...espero no haya estado en una casa donde lo maltrataban... ojalá termine en buenas manos!! natalia te vas al cielo sin escalas! 🙏🏻🙏🏻,2,Positive,Lo que me preocupa es que el perrito está tranquilo y feliz....espero no haya estado en una casa donde lo maltrataban... ojalá termine en buenas manos!! Natalia Te vas al cielo sin escalas! 🙏🏻🙏🏻,lo que me preocupa es que el perrito está tranquilo y feliz   espero no haya estado en una casa donde lo maltrataban    ojalá termine en buenas manos   natalia te vas al cielo sin escalas  🙏🏻🙏🏻,34,41,193,193
"🔵🔴los productos de primera necesidades no pueden ser regulados gracias a la constitución fujimorista del 93 artículo 62, 63  la constitución prohíbe la regulación de precios, los productores pueden subirlos sin dar explicaciones a nadie. estas son las principales:  grupo romero -aportante de fuerza popular. dueños de alicorp,  produce fideos nicolini, don vittorio, alianza, lavaggi, aceite primor, cocinero, cil, friol, aceite tri a, capri, alacena; detergente sapolio, bolívar, jumbo, opal, marsella, trome; harina blanca flor, la favorita, espiga de oro, sayon, la negrita, sello de oro, tentación, intercrackers, dento y otros. dueño del grupo palma, produce aceite tondero, manteca tropical, jabón popeye y jabón spa dueños de primax, venta de combustibles y lubricantes, también de grifos pecsa,rancagua comercial, industrias del espino, palma del espino dueño del banco de crédito del perú - bcp,  de mibanco   seguros y fondos de pensiones, a través de grupo pacifico y prima afp; y banca de inversión y gestión de patrimonios, a través de credicorp capital, gestión de patrimonios del bcp y atlantic security bank.   grupo gloria -aportante de fuerza popular.   productor de azúcar, dueños de las azucarera casagrande, cartavio, san jacinto y agroolmos, tienen el 70% de la producción azucarera, además de ser productores de leche evaporada.   grupo wong -aportante de fuerza popular. dueño de willax, productor de azúcar. dueños de las azucareras andahuasi y paramonga.",1,Neutral,"🔵🔴LOS PRODUCTOS DE PRIMERA NECESIDADES NO PUEDEN SER REGULADOS GRACIAS A LA CONSTITUCIÓN FUJIMORISTA DEL 93 ARTÍCULO 62, 63  La Constitución prohíbe la regulación de precios, los productores pueden subirlos sin dar explicaciones a nadie. Estas son las principales:  GRUPO ROMERO -Aportante de Fuerza Popular. Dueños de ALICORP,  Produce fideos Nicolini, Don Vittorio, Alianza, Lavaggi, aceite Primor, Cocinero, Cil, Friol, aceite Tri A, Capri, Alacena; detergente Sapolio, Bolívar, Jumbo, Opal, Marsella, Trome; harina Blanca Flor, La Favorita, Espiga de Oro, Sayon, La Negrita, Sello de Oro, Tentación, Intercrackers, Dento y otros. Dueño del Grupo Palma, produce aceite Tondero, manteca Tropical, jabón Popeye y jabón SPA Dueños de PRIMAX, venta de combustibles y lubricantes, también de Grifos PECSA,Rancagua Comercial, Industrias del Espino, Palma del Espino Dueño del Banco de Crédito del Perú - BCP,  de Mibanco   Seguros y Fondos de Pensiones, a través de Grupo Pacifico y Prima AFP; y Banca de Inversión y Gestión de Patrimonios, a través de Credicorp Capital, Gestión de Patrimonios del BCP y Atlantic Security Bank.   GRUPO GLORIA -Aportante de Fuerza Popular.       Productor de azúcar, Dueños de las azucarera CasaGrande, Cartavio, San Jacinto y AgroOlmos, tienen el 70% de la producción azucarera, además de ser productores de leche evaporada.   GRUPO WONG -Aportante de Fuerza Popular. Dueño de Willax, productor de Azúcar. Dueños de las azucareras Andahuasi y Paramonga.",🔵🔴los productos de primera necesidades no pueden ser regulados gracias a la constitución fujimorista del 93 artículo 62  63  la constitución prohíbe la regulación de precios  los productores pueden subirlos sin dar explicaciones a nadie  estas son las principales   grupo romero  aportante de fuerza popular  dueños de alicorp   produce fideos nicolini  don vittorio  alianza  lavaggi  aceite primor  cocinero  cil  friol  aceite tri a  capri  alacena  detergente sapolio  bolívar  jumbo  opal  marsella  trome  harina blanca flor  la favorita  espiga de oro  sayon  la negrita  sello de oro  tentación  intercrackers  dento y otros  dueño del grupo palma  produce aceite tondero  manteca tropical  jabón popeye y jabón spa dueños de primax  venta de combustibles y lubricantes  también de grifos pecsa rancagua comercial  industrias del espino  palma del espino dueño del banco de crédito del perú   bcp   de mibanco   seguros y fondos de pensiones  a través de grupo pacifico y prima afp  y banca de inversión y gestión de patrimonios  a través de credicorp capital  gestión de patrimonios del bcp y atlantic security bank    grupo gloria  aportante de fuerza popular    productor de azúcar  dueños de las azucarera casagrande  cartavio  san jacinto y agroolmos  tienen el 70  de la producción azucarera  además de ser productores de leche evaporada    grupo wong  aportante de fuerza popular  dueño de willax  productor de azúcar  dueños de las azucareras andahuasi y paramonga ,222,341,1481,1481
"dice que quiere su tacacho con cesina y su ají de cocona, pero que no tenga mucho ají charapita porque le va arder todo, y saludos para manolo en peru, clarito dice 😁",1,Neutral,"Dice que quiere su tacacho con cesina y su ají de cocona, pero que no tenga mucho ají charapita porque le va arder todo, y saludos para Manolo en Peru, clarito dice 😁",dice que quiere su tacacho con cesina y su ají de cocona  pero que no tenga mucho ají charapita porque le va arder todo  y saludos para manolo en peru  clarito dice 😁,33,42,166,166
susan marabotto versión enchuladita que va a quedar cañón 😂😂😂.  se ve riquísimo! saludos 🤗,2,Positive,Susan Marabotto versión enchuladita que va a quedar cañón 😂😂😂.  Se ve riquísimo! Saludos 🤗,susan marabotto versión enchuladita que va a quedar cañón 😂😂😂   se ve riquísimo  saludos 🤗,15,24,90,90
"a ver, se los voy a explicar con naranjitas, quién es la verdadera red kriminal... kksenos! :  el grupo komercio y sus paskines como perú21, el trome... y los canales mermeleros de la korrupcion, dejan de percibir del estado, en conjunto ahora!, más de un millón de soles al día. es la razón de tanta desesperación de mamarracho en sus titulares, nivel prensa chicha de los 90's del fujimontesinismo para estafar solo mentes unineuronales y población sumida en la ignorancia por el hambre del terrorismo financiero y económico de los grandes oligopolios que desde décadas atrás hasta 'ayer' manejaban a su antojo y como su chacra al perú y a los peruanos, en su mayoría la clase trabajadora por un salario de subempleo sin derecho laboral.  *fiskal de la nación: ""yo lo empapelo de denuncias..."" *kongreso golpista: ""nosotros lo vacamos..."" 🤝🤝",0,Negative,"A VER, SE LOS VOY A EXPLICAR CON NARANJITAS, QUIÉN ES LA VERDADERA RED KRIMINAL... KKSENOS! :  El GRUPO KOMERCIO Y SUS PASKINES COMO PERÚ21, EL TROME... Y LOS CANALES MERMELEROS DE LA KORRUPCION, DEJAN DE PERCIBIR DEL ESTADO, EN CONJUNTO AHORA!, MÁS DE UN MILLÓN DE SOLES AL DÍA. ES LA RAZÓN DE TANTA DESESPERACIÓN DE MAMARRACHO EN SUS TITULARES, NIVEL PRENSA CHICHA DE LOS 90'S DEL FUJIMONTESINISMO PARA ESTAFAR SOLO MENTES UNINEURONALES Y POBLACIÓN SUMIDA EN LA IGNORANCIA POR EL HAMBRE DEL TERRORISMO FINANCIERO Y ECONÓMICO DE LOS GRANDES OLIGOPOLIOS QUE DESDE DÉCADAS ATRÁS HASTA 'AYER' MANEJABAN A SU ANTOJO Y COMO SU CHACRA AL PERÚ Y A LOS PERUANOS, EN SU MAYORÍA LA CLASE TRABAJADORA POR UN SALARIO DE SUBEMPLEO SIN DERECHO LABORAL.  *FISKAL DE LA NACIÓN: ""YO LO EMPAPELO DE DENUNCIAS..."" *KONGRESO GOLPISTA: ""NOSOTROS LO VACAMOS..."" 🤝🤝",a ver  se los voy a explicar con naranjitas  quién es la verdadera red kriminal    kksenos     el grupo komercio y sus paskines como perú21  el trome    y los canales mermeleros de la korrupcion  dejan de percibir del estado  en conjunto ahora   más de un millón de soles al día  es la razón de tanta desesperación de mamarracho en sus titulares  nivel prensa chicha de los 90 s del fujimontesinismo para estafar solo mentes unineuronales y población sumida en la ignorancia por el hambre del terrorismo financiero y económico de los grandes oligopolios que desde décadas atrás hasta  ayer  manejaban a su antojo y como su chacra al perú y a los peruanos  en su mayoría la clase trabajadora por un salario de subempleo sin derecho laboral    fiskal de la nación   yo lo empapelo de denuncias      kongreso golpista   nosotros lo vacamos     🤝🤝,141,204,843,843
