text,label
BRAVO bravo 👍  dale duro,2
Hoy es un día muy duro de trabajo pero gratificante. 🥰🤗🫶👍👏🇵🇪,2
Así hubieran publicado sus músicas cuando estaba vivo  😒,0
",Mabel Milla 🤣🤣 Tanto Tu en los Tonos 🤣 JAJAJA 😎",2
"Pueden ver los monumentos, galerias de Arte, casas históricas y los huequitos de música... esos lugarcitos bizarros donde el tono termina a las 8 de la mañana. Averiguen😘🤣",2
Nixon mis tonos épicos 😹😹,2
María Fasanando  ya me veooo en un tono así contigo 😎😅😆,2
"Me toco aprender a controlar mi tono de voz y las carcajada, (me río pa'todo el.barrio🥺🥺🥺🥺) y me gustaría conocer Japón",1
Itala Vera Acosta para cuando tu tono así???😂😂😂🤣,2
Para los tonos de cucho Tania Ht 😂,2
Nestor Mariñas apunta las fijas 🙌,1
Jaen Paul Cajate GaribayJhon Anthony Cajate Garibay 😂 pero tío eran las fijas,1
Usteden son toche en donde agarros las pelota  eso es donde tiene que fijase afuera de la ============ bean bien el video para mi esta bien y bueno sera para otra revancha 🙏🙏💪💪,0
Se parece a la hermana de cocoliso de Popeye jajaja😂😂😂,2
Estaría luchando por entender la conversación del mudo y el tartamudo en pleno tono 😁😁,0
"Muchas gracias Cristian, Bicampeón Panamericano🥇eres un orgullo para todos los peruanos",2
Y en que le afecta al bicampeón 🤣🤣,2
Roxy Dieguez las fijas 😂😂,2
Felicitaciones a nuestro bicampeon ..Cristian Pacheco ..me siento orgullosa desde santiago de chile..👏🏼👏🏼👏🏼,2
Luchemos contra el a buso de menores también oye PEDO FILO 🤡,0
Sabes que no luchan por KEIKO FUJIMORI 🤡💩🐁🐁🐁🐁no?? Pedo filo 💩,0
Que palabras para filosóficas. 🥹😵‍💫😵‍💫🥹,1
"Eeh aquíi mi filosofía: ""los pechos que no rebotan, no son pechos"" 😅😄",0
Arriba alianzaaaaa 🤍💙🤍 hoy día juega el bicampeón,2
"Jajaja qué buena, bicam sonamm🤣",2
