text,label,label_name
Todos esos son mis points en mi rico Trujillo. Todos buenazos!!!!!🔥🔥🔥🔥,2,positive
"No cambias cabrilla, más palo eres chtm, !Yo me rectifió cuando me dé la gana! siiiiiii, toda una macinon@ tira mi3rd4, se te encogieron las boloñ@s 😬😬😂😂😂 aprovecha mientras tengas vitrina trde o temprano se te acabará o por viej@ ó porque ya no vendes con tus dices seguidores que tambien se hacen la pichi con el terruqueo 🤭🤭😂🍆👋🏼👋🏼👋🏼. ya para despedirme y se venga la arena, los millenial del No a Keiko andan por acá c4g4ndos3 de miedo y fiel a su mariconad4 marcarán la K 😂😂😂 heroes de bicentenarío  total papel aguanta todo, pero igual lean mi3rd4s:  Keikito:  https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16490.pdf?fbclid=IwAR3X80RcBiWCRzIwNxuFFDQSl-2xXcaio8ZkmqM9J8b-Vg8R95IuekBocMk  Peter Castle:   https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16542.pdf?fbclid=IwAR2jGj4qGN-AB3ggtp1VQEUzyxt31cYnQSnOxnz6Hc-PFPOAY3c5zkdo3qg",0,negative
@Sofia Aguero JAJA NOSOTRAS en los quinos😂😍,1,neutral
"COMBI_NOCHE , ES LA FUSION DE UN COMBINADO CON LA LLEGADA  DE LA NOCHE. CON UN TOKESITO DEL SABOR CHIMBOTANO , TANTO EN LA PREPARACION DE LOS TALLARINES , LA  CREMA ALA HUANCAINA Y DEL CEVICHE  jajajaja  NI Q HABLAR . OTRO LEVEL PSSSS Y PA REMATAR SUS RICAS MARUCHITAS Y TODOS SUS RECUTECUS ADERIDOS COMO UN ADN  ... LLEGA UN PLATO UNICO AL PALADAR .... 🧜‍♂️🐟🐟🧜🏼‍♀️",2,positive
Esta gente no hace chancha estan invirtiendo 🤷‍♀️,0,negative
Yo soy más alto que el solo que vivo en el campo 🤣,2,positive
así que estamos parches,1,neutral
"Jorge si algún dia viene Nadia, punto obligado 😅😊",2,positive
"jajajajajajte dicen eso y muchas cosas pero 🤷 no me.importa, al final.termino haciendo un viaje misio y con full diversión jajajaja",1,neutral
"Que rico se ve todo y barato tiene las tres BBB, bueno bonito y barato... 👍👍👍Ojala algún día regresen esos buenos momentos de comida al paso o de carreta..",2,positive
Cómo que Benito no habla como retardad0 todo el tiempo viví engañado ☹️,0,negative
Esta pidiendo la vacancia del presidente para q él se salve de la cárcel malditos ratas 🐀 nos quieren utilizar para su propio beneficio 😡,0,negative
Y del agua su duro 😄😄,0,negative
Lo máximo un niño con una hermano de 4 patas tiene una alegría y responsabilidad  que no se puede describir !!😻,2,positive
"Eres un atorrante! Mi pata te pidió una foto en Lima Bar el viernes 19 y te diste tus aires de divo, encima te reiste con tu amigo por el desplante que le hiciste... recuerda querido que tú te debes a tu público y por el hecho de que tengas un programucho no puedes perder la humildad. Te la pegas de un pata chévere y en persona decepcionas! 👎",0,negative
M4T4T3 ENTONCES.. DARÁS MÁS VISTAS OE CABEZA DE Camaleon 😃 😃 😃,0,negative
No te puede haber dicho esa canallada dijo ella,1,neutral
"Confesión : aveces me compro cafarenas chompas o casacas que son de mujer, cuando me las pongo no se ven nada gay ni femenino. Y muchos dicen te  ves ptm. 😎",2,positive
Una verdadera bomba,2,positive
Con que tu eras la chupa ganpi que habla mal.... Ojalá y nunca pases por esos momentos conchetumare 😠😠😠😠,0,negative
Nathi Ramírez Munayco saca tu cuaderno loro y tu lápiz mongol🤪,0,negative
"Hay Mariapia esas buchisapas que hablan de ti ya quisieran tener ese cuerpazo e inteligencia que tienes, como para ponerse tus vestidos y la creatividad e ingenio que tienes 😁... tu estas regiaaaaaaa ❤",2,positive
"Esta dupla , se parece mucho a la Dayano y su mostacero , si no lo llevan a los 3 no va nadies , jajajaja payasos 🤡🤡🤡",0,negative
Vamos cuto la fe de cuto esta por encima de cualquier  mal Dios esta con cuto me da gusto  q eres  un referente  del fútbol  y de la juventud   Q sigan los éxitos  cuto y bendiciones  para tu familia 👪,2,positive
Jajajajajajaja curiosamente me resultó fácil aprenderlos porque son los nombres de las bestias con cola de Naruto 😂👌,1,neutral
JaaaaaA que paso.que paso  te agarro el huaico 😃😃😃😃😴😎😎,2,positive
"Siempre tan elegante y hermosa, y a la vez bailas orgullosa de nuestra marinera norteña hermosa 😘😘",2,positive
"Mi abuelita hacía así la ocopa y la papa a la huancaina, en batán.. deliciosa 😊",2,positive
@ Juan Antonio Castillo Solari primo pronto con tu libro 😁😊,2,positive
Otro pirañita pitucos en indecopi por ser ser chupamedias de Perú libre ...puro malandro está en este gobierno primero fue el camarada  Guido Bellido ahora el de indecopi 💩✏️😎🥱,0,negative
Los únicos babosos serán los que sigan viendo tu programa...😂,0,negative
Franko Bernuy Peralta 👍,2,positive
Andas picón por qué todavía no te vacunan 😏,2,positive
Hay que vacilón 😂😂😂😂😂,2,positive
"TÍPICO  TERRUCOS! EL PERÚ YA SE DIO CUENTA SE LES CAYERON LAS CARETAS, LOBOS VESTIDOS DE OVEJAS COMO EL LLORÓN DE CASTILLO, TERRORISMO NUNCA MASSSS!!!... KEIKO PRESIDENTA 2021🇵🇪",0,negative
"Yo era ayudante gratuita de mi vieja, vendíamos comida y sólo en campaña me independizaba  y me iba a gamarra para ser jaladora, aunque luego fuí vendedora✌️",1,neutral
Luis Canales Homora  🤣,1,neutral
Kathya pobre tu próximo flaco 😂😏😏,0,negative
Está mermelera pituca kga leche ase renegar con sus comentarios 🐀🐀🤮🤮🤮🤮💩💩💩,0,negative
"Eso es buena noticia q no vayas hacer nada porque es capaz q vas a querer intentar cantar y ahí si ya la cagaste, quédate ahí tirado como la💩💩💩💩💩por favor",0,negative
"Eres una Trome ,pero me hiciste recordar mi pasado pero me hicistes reirrrrr eres genial ,fantástica algún di ano muy lejano te conoceré en persona😍😁 cariños ❤️",2,positive
"Karen Paucar Zevallos algo tranqui, hasta las 2 no? 🤣",1,neutral
"Por plata hago cualquier cosa, tío",1,neutral
🔥🔥Buen jale sería llevar al cómico PEPINO 🔥🔥,2,positive
"Siempre me gusto pero nunca aprendi los pasos, fui muy taba... 😁😁😁",2,positive
"Mí Campeona, nuestra Campeona Sofía Mulanovich Tú que levantas sin límites ni barreras muestra bandera bicolor 🇵🇪 y la llevas a lo más alto,  te mereces el gran respeto y  consideración como ser humano, mujer y  profesional deportiva eres grande, se pide a la Federación  peruana, su acción y opinión en éste caso.",2,positive
Harto caramelo 🍬🍬🍬 😂 🤣🤣🤣🤣buena pantera del rico chimpun callao 🥳🥳🥳más na,2,positive
yo soy Tyson y no le tengo miedo a ningún huevón,0,negative
