id_slang,slang,text,label,char_count
75,anda,"Diría no importa, tienes razón pero anda vete",2,45
903,huacha,El patriotismo es la peor de las huachaferías,3,45
382,chico,"No digas maricas, eso ofende dijo el chico",0,45
2212,pendejo,"Yo me hago el loco, quiero decir el pendejo",2,45
382,chico,Página 136  La marihuana y los chicos guapos,2,45
1284,paco,¿Cuánto cuesta un paco? le preguntó Joaquín,2,45
1237,negro,"Téllez lo agarró del brazo: nos íbamos, negro",3,45
1066,machete,Melba veía galgas y machetes por todas partes,3,45
1575,regla,Así que ahí se ha hecho una limpieza en regla,1,45
1738,tanta,Los comuneros acudían a mirar tanta maravilla,2,45
2305,tono,"Romero me daba ánimos, pero en tono compasivo",2,45
2212,pendejo,"Muchacho pendejo, carajo",3,45
1695,soli,Trece años y ya me buscaba mis chuchas solito,2,45
361,charli,Estaba escuchando un casete de Charlie García,0,45
75,anda,"Andaban acechándose, persiguiéndose, matándose",1,46
1111,mano,"Tenían unidas las manos, se miraban a los ojos",0,46
1111,mano,Antero me saludó con la mano y siguió de largo,0,46
275,carajo,"Ah, carajo, pendejito eres le dijo a Joaquín",3,46
2115,habla,Unos a otros se miraban sin atreverse a hablar,0,46
2189,levantar,"Alucina eso, voy a levantarme un culo de plata",3,46
1111,mano,Levantó la mano y dio tres golpes en la puerta,0,46
261,caña,"Ya sabes, pues, que me voy a la caña de azúcar",1,46
2316,pata,"Si ven a tres patas durazos, no suben al carro",3,46
1225,mula,El Padre espoleó a la mula y abandonó a la opa,2,46
2115,habla,Nada de hablar de los gendarmes y ninguna cosa,0,46
1021,ladrar,Paga la carrera y el Batuque comienza a ladrar,2,46
414,chispas,¿Sabes que Ambrosio se fue? dijo el Chispas,2,46
42,asado,"Otra cosa, déjame remojando el asado en papaya",2,46
270,carabina,Todos llevábamos la carabina lista pa disparar,2,46
1464,planta,Marguicha fue creciendo como una planta lozana,1,46
1876,viejo,Como tras una niebla veía aún al viejo Chauqui,3,46
2249,pichanga,  El próximo sábado hay una pichanga,2,46
513,cole,"Si no quiere, dile que me escaparé del Colegio",0,46
1865,velador,Err:509,0,46
91,arrecha,Me arrechas con tu uniforme de maletero,2,46
513,cole,Desde que estaba en el colegio dijo Gonzalo,0,46
2176,flaco,"Con mucha paciencia, el flaco me tranquilizaba",1,46
2036,bacán,(Lo apunta)    Eres bacán con tu chimpún,2,46
1727,taita,Err:501,0,46
2294,plata,"La loca no lo hace por plata, no es interesada",2,46
1268,ojota,Se miró la ojota gastada y pensó en la escasez,3,46
513,cole,El Hermano Miguel se quedó a cargo del Colegio,0,46
2294,plata,  ¿Tienes plata?    No mucho,3,46
1225,mula,Dioni lo esperaba con las dos mulas ensilladas,2,46
1419,pieza,Ingresaron por una de ellas a una pieza amplia,2,46
893,hermano,Yo los perdono y pido perdón dijo el Hermano,0,46
275,carajo,"Ese es mi cachorro, carajo dijo, con orgullo",2,46
1954,blanca,"""Tenía las piernas gordas, blancas y sin pelos",0,46
2176,flaco,"Oye, no seas desgraciado, flaco dijo Popeye",3,46
2291,papa,La chacra de papas se encontraba casi arrasada,0,46
1129,maricón,"Nadie se mete a lesbiana o maricón, Alexandra",3,46
2236,tranqui,Yo prefiero quedarme tranquilito en el clóset,2,46
2176,flaco,"Que no quieras ver a tus padres, eso no, flaco",2,46
2212,pendejo,Yo no sabía que el pendejo le entraba al chamo,3,46
1299,palo,"A palos, en reducidas eras, rompían las vainas",0,46
1402,picar,"Pero la negra bonita, la picarona, no contestó",3,46
1299,palo,Piensa: él los mata a palos y tú a editoriales,2,46
548,concha,llora conchatumadre ¿Ves? Ya me muero carajo,3,46
2209,pájaro,En el bosque gritaban las fieras y los pájaros,0,46
2223,rosquete,Nadie votaría por un rosquete para presidente,3,46
283,cargo,"Ahora, olvídese del asunto y déjelo a mi cargo",2,46
1875,vieja,"Bah, a ti qué te puede importar que esté vieja",3,46
365,chau,"¡Me caí, Padre! exclamó Chauca, lloriqueando",3,46
212,caer,Entonces ella dejó caer su tenedor en el plato,0,46
2182,gallina,¡Una gallina de pata amarilla! Y se le acercó,2,46
1804,toque,"Con esto, se te va el ardor al toque",1,46
1009,la canción,"Quiere que el lector oiga, como él, la canción",0,46
1501,punta,Estoy llevando el puntaje porque tú me dijiste,2,46
1875,vieja,"Manejaba la carcocha más vieja del mundo, niño",2,46
75,anda,"Anda ahorita mismo a recoger las cacas, carajo",3,46
2329,a la tela,"Carajo, bien a la tela te me has puesto",1,46
61,ahorita,Voy a llamar a Gonza ahorita mismo,2,46
661,duro,Gratos eran los duros senos de pezones alertas,2,46
435,cholo,"Dos cholos ebrios, gritaron: -Atajen ese globo",3,46
75,anda,Anda trayendo el carro que voy por tu paquirri,0,46
275,carajo,"Ay, carajo, me escupió el sida gritó Gustavo",3,46
1804,toque,"Mal viento, Amas pára amas pára no lo toques",2,46
2115,habla,"Y ahí la Teté, hablando en voz baja con Popeye",0,46
75,anda,"Joaquincillo, ¿qué andas haciendo? Tranquilo",2,46
2176,flaco,"Estás flaco como un palo, mi amor dijo ella",3,46
2176,flaco,"Estás flaco, pareces un tirifilo, un fosforito",3,46
2115,habla,No tengo costumbre de hablar en indio decía,0,46
1046,loco,"Después del polvito, si no mueres, quedas loco",3,46
1020,ladilla,"No me faltes el respeto, vieja ladilla gritó",3,46
1009,la canción,"Cuando terminó la canción, la abrazó y la besó",1,46
2182,gallina,"Quemaban basuras, cenizas y gallinazos volando",2,46
1876,viejo,¿Tu viejo sigue jalando? le preguntó Joaquín,3,46
1237,negro,"Que es negro, es negro dijo en voz alta Valle",3,46
174,burro,Err:509,0,46
1396,pete,"Bueno, señora, ya es hora de irme dijo Peter",0,46
2038,malograr,Es que voy a malograr la foto dijo Alexandra,2,46
2294,plata,"Al enemigo que huye, puente de plata, don Cayo",2,46
319,chacra,Junto a las chacras pardas humeaban los bohíos,2,46
961,inti,La ordeñadora tenía ya cierta intimidad con él,3,46
2149,chaveta,¿Para qué ha sacado esa chaveta? No necesitaba,2,46
2142,cancha,"Era una cancha de cemento, rodeada de palmeras",2,46
61,ahorita,si no tienes ganas ahorita te lo comes después,2,46
2294,plata,No me hables de plata mientras comemos,2,46
1804,toque,El tipo prendió el sauna y se calateó al toque,2,46
2115,habla,Hablas a tu mujer como si te acabaras de casar,1,46
1875,vieja,"Vendría disfrazada de vieja, a pie o a caballo",2,46
1046,loco,Cuando lo dejaban encerrado se ponía como loco,3,46
1697,sopa,"Una sopa de pescado, pan y menestras con arroz",0,46
1695,soli,"Y ustedes solitos la van a desarmar, sócarajos",0,46
1102,mande,Espero que me mandes postales dijo Santiago,0,46
1111,mano,"(CARADURA lo mira, le pasa la mano por el pelo",0,46
2294,plata,Ahora que manejas plata ya no quieres estudiar,2,46
136,bestia,A poco escuchóse el rumor de bestias al galope,2,46
275,carajo,"Que tal héroe el caddie, carajo",2,46
673,emilio,El hijito del senador don Emilio Arévalo claro,0,46
956,incumplido,"Y tocando, tocando, no había pasos incumplidos",2,46
1669,serrano,"Serrano, no la sueltes que a lo mejor se vuela",3,46
942,huevón,"le digo pe, le voy a tener miedo a ese huevón",3,46
1889,vivo,Concluyó la danza con una fuga de ritmo vivo,2,46
1721,taco,Los tacos de Gamboa suenan contra las baldosas,2,46
1368,penar,Así salió de su comunidad a penar por el mundo,2,46
171,buitre,"El Buitre por eso, don, vivía de los cadáveres",3,46
673,emilio,¿Volver al trabajo? dijo don Emilio Arévalo,0,46
405,chino,"¿Mandarte refuerzos, Chino?",2,46
1876,viejo,Porfirio Medrano cargaba su viejo rifle Pívode,2,46
1427,pinga,"Y menos mal, porque tenía una pinga de caballo",3,46
1396,pete,Acaban de dejar libre este cuarto dijo Peter,0,46
513,cole,"- ¿En el colegio? -repuso la mujer, indignada-",0,46
275,carajo,"Los perros, carajo, se las comieron los perros",3,46
275,carajo,"Carajo, el tranquilo de Cayo con tamaña hembra",2,46
893,hermano,El Hermano y el Añuco caminaban muy despacio,0,46
1111,mano,"Bailemos le dijo Tati, cogiéndolo de la mano",0,46
1248,no pasa nada,"Disculpa Misterio, no pasa nada",2,46
2115,habla,Palacitos se aterrorizó y no volvió a hablarme,0,46
2115,habla,"Don Armando, quiero hablar con usted le dijo",0,46
1692,soga,"Quién sabe po qué, yo dije: «Se rompió la soga»",0,47
1804,toque,En media hora comienza el toque de queda dijo,2,47
1253,nota,"Presta una 'Gillete' y verás, no se notará nada",2,47
2294,plata,Hilaba y tejía y en vez de plata cobraba granos,2,47
61,ahorita,"Estás borracho, Zavalita, ahorita ibas a llorar",2,47
2176,flaco,"Vaya, me alegro, flaco ",2,47
2275,cuadrar,Me acaban de poner una multa por cuadrarme mal,3,47
2307,troncho,Pedro se echó en una banca y prendió un troncho,2,47
1995,poto,"Y lávate el poto dijo Gustavo, en tono burlón",3,47
34,tumbes,"Lo apoyan Arequipa, Cajamarca, Iquitos y Tumbes",2,47
1875,vieja,Yo quise ir a visitarte pero la vieja me asustó,3,47
513,cole,"La cola había estado enterita y coleteando, don",2,47
430,choco,"Vinimos al instante, casi choco en la Costanera",2,47
1669,serrano,"Tipo desleal, el Serrano dijo él, asintiendo",2,47
815,gaseosa,(Ríe forzado) He comprado pollito y una gaseosa,2,47
1505,punto,Lo Página 217  he entrevistado una vez y punto,2,47
2103,chicha,Pidió una jarra de chicha y la bebieron parados,2,47
2244,chibolo,"cuidado chibolo, tienes que aprender a respetar",3,47
1948,zapatilla,Se le habían metido piedritas en las zapatillas,2,47
2176,flaco,¡Pero si a ese flaco puedes matarlo! exclamó,2,47
1432,piojo,(El piojo del enfermo se reproduce de otro modo,2,47
1962,apurímac,"Vi gente subiendo la montaña, hacia el Apurímac",2,47
212,caer,«Esta peña se va a caer y nos aplastará a ambos,2,47
382,chico,El chico estaba tirado en el suelo y se quejaba,3,47
511,cola,"«Colambo, Colambo», la llama con su voz cascada",2,47
1450,pita,Dieron varias pitadas más y apagaron el troncho,2,47
263,caño,El agua de los caños del parque me hizo vomitar,3,47
942,huevón,"tú eres preciosa Lucía, no eres para ese huevón",1,47
893,hermano,"Ladrón que roba a ladrón, hermano, ya sabes qué",2,47
591,cuero,Los dos se sentaron en un viejo sillón de cuero,2,47
1875,vieja,Vez que veo a una vieja me acuerdo de mi abuela,2,47
668,el deshueve,"Sería el deshueve si te animas a venir, Joaquín",1,47
174,burro,EL BURRO:  No sabía que teníamos que ir al Lolo,2,47
1875,vieja,"Elena, encima de la vieja ley, agrega su bondad",2,47
1864,vara,"(Le mete un golpe con la vara, lo tira al suelo",2,47
265,capo,"Alzaron la capota, se le había fundido el motor",2,47
511,cola,No le puso acero sino fierro colao a mi barreta,2,47
2294,plata,"Y si no quieres traer la barreta, toma tu plata",2,47
1843,un culo,"buenísima gente, (te extraño un culo, jimmy boy",1,47
288,caro,Err:509,0,47
1738,tanta,"Mis comisiones eran tantas, siempre en efectivo",2,47
382,chico,El chico se detuvo a observar uno de los juegos,0,47
136,bestia,"Las bestias, y hambrientas, eran los montoneros",3,47
974,jarana,"Después podrás organizar una jarana, si quieres",2,47
1111,mano,Y cuando sacó la mano tenía un fajo de billetes,2,47
683,empinchado,Pensé que a lo mejor seguías empinchado conmigo,2,47
769,fija,Err:509,0,47
289,carpa,Se pusieron de pie y caminaron hacia las carpas,0,47
1694,solar,"¿Ah, sí? Creo que lo vi una noche en el Solari",2,47
243,campana,"He visto a don Maywa, cuando tocaba la campana",0,47
500,coco,Se han superado una inmensidad estos cocodrilos,2,47
75,anda,La policía anda pensando que eres un subversivo,2,47
893,hermano,Subió las gradas y se arrodilló ante el Hermano,0,47
2291,papa,"Porque cada vez me estás gustando más, papacito",2,47
1396,pete,Todo había sido muy fácil entre Peter y Joaquín,0,47
2035,pisco,El pisco me hacía arder la garganta y lagrimear,2,47
1894,vuelta,Te ha sacado la vuelta más de una vez,3,47
1501,punta,"Voy a Chaclacayo ahora, a dar la última puntada",2,47
1875,vieja,La pobre vieja ya no cocina tan bien como antes,3,47
587,cuchi,Veían la muerte como una clara ley del cuchillo,2,47
1056,lora,¿Sacarlo del Ministerio? dijo el doctor Lora,2,47
1111,mano,Sintió que las manos habían comenzado a sudarle,0,47
265,capo,Err:509,0,47
243,campana,Tocaron la campana y salimos a formar,0,0
1111,mano,Luego se puso de pie y le dio la mano a Joaquín,0,47
1894,vuelta,Err:509,0,47
636,depa,"No bien entró al departamento, abrazó a Joaquín",0,47
1046,loco,"No jodas, qué tal loco de mierda dijo Gustavo",3,47
