"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"966205540254222";"seed";"";"";"None";"None";"";""
"1";"2";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Bismark J. Robledo Hara se aserca el gran mes🙃😅"
"1";"3";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Raul Solano😒😒 pa cuando e.exd"
"1";"4";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Jhordhan Muñoz 😱😱😱"
"1";"5";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Steeve Carton German Amélie Pellg. 😂😂"
"1";"6";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"David Hurtado"
"1";"7";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Fernando 🙂"
"1";"8";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Silvana, Marilyn, Karen me ofrezco a ayudarles xddd Alexandra, te unes? Jajajajaj"
"1";"9";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Tom Cl no tengo amigas para presionarte xd pero puedo llamar a Peke que es lo mismo 🤔"
"1";"10";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Verónica Gaitán yo sé que te imaginas porque te etiqueto en este video pero por si las dudas 😂 me hizo acordar cuando te llame para darte la primicia 😂😂😂"
"1";"11";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Shirley Brighit jaja me recuerda cuando nos esteramos del conprosimos de la compañera y andas pidiendo matri a Juan Enrique :v y el anillo oa cuando kike?!!!"
"1";"12";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Hans, y el anillo para cuándo? 😏❤ #YoOrganizoTodo #TúSoloDameElAnilloYTodoElDinero  Te amo ❤"
"1";"13";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Rosamarìa Sayas Pillaca yo voy consiguiendo todo, es más vamos abriendo la convocatoria para nuevo enamorado #MiAmigaSeMereceUnAmorDelBueno #SeVieneBoda #TeTiraréArroz"
"1";"14";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"JAJAJAJAJAJAJJAJAJAJAJAJAAJJAJAA POR ESO TERMINARLE A LOS 2 AÑOS XD"
"1";"15";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Respeto tu privacidad pero inpongo mi autoridad como amiga bella Mar ML y Fernanda Durand 😂😂 ya quiero ir a sus matris 💗💖"
"1";"16";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Jajaja no le den idea a las damas que aun no quiero que me obliguen a casarme :v"
"1";"17";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Raquel Katia las apoyamos ps con David y Edgar pa q nuestro pata Edwin no se haga el loco"
"1";"18";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Sugiero las las señoritas que no se apuren si son muy inteligentes disfruten de su hermosa vida la soltería es buena les digo hasta los enamoraditos in.....SEAN INTELIGENTES la vida es sabrosa no se acabara el mundo.🤔🤭🤦‍♀️"
"1";"19";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Chataaaa Carmen Tello, esto le tenemos que hacer a rafaaaaaaaa jajaja yo creo que Sally Cachique Soriano estará de acuerdo"
"1";"20";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"César Salcedo a quien nos jace recordar esto 🤔🤔🤔Jajajaja lo siento apenas lo vi te recordé Diana Lucia Arteaga Candia jajaja ya sabes Carlos Giraldo"
"1";"21";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Sidney Missell Erquinigo Martinez jajajajajajaa asi te ayudare amiga o mejor dicho ayudaremos Mitzi Rojas Erquinigo jajajjaa miren que gracioso"
"1";"22";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Nadi Gabriela eso debimos aplicar con taby hace añazos 😂😂😂😂 hemos fracasado como amigas"
"1";"23";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Lu Siu amiga yo no he visto el anillo aún ... no se te ayudo a cantar jajaja cof cof Jhon cof cof !!!!!!!!!!!!!"
"1";"24";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Jajajajajajajaja Nad Lugoy que piensas de esto!  😂😂....  Esto  es para ti con mucho cariño❤ Ame Sa Ba jajajajajajah 💍👰"
"1";"25";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Jajjajajjaja David ya me vas a ver bailando así con Denisse y Diana en unos años xD"
"1";"26";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";"Augusto con que así era Mara,Milagros Ya saben je hacer chicas 😂😂"
"1";"27";"1";"966205540254222";"offcut";"";"fetched (200)";"2023-10-01 15:48:58.386561";"Facebook:/<comment-id>/comments";"";""
"1";"28";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Renato Mezarina Montenegro Gian Piero jajajaja jajajaja lupe y Carmen jajajaja csmre me cague de la risa ."
"1";"29";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"ErikGarciaTacas y la base de datos pa cuando ?"
"1";"30";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Edwin Diaz Salazar !!! Pa' cuando !!! 😂😂😂 Aunque ya tengo él anillo 😍 Seria la fecha pa' cuando ?"
"1";"31";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Omar Puma, ya pues y el anillo, pa' cuando? Muchas indirectas y nada que atracas 😭😡"
"1";"32";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Carmen López  me hace recordar a ti 😊... Y el anillo pa cuando ?"
"1";"33";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"JAJAJAJA plan de casarme antes de los 25😂😂"
"1";"34";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Gordito Jose López ya se que me traes de Cancún... El anillo"
"1";"35";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Luisito Vega ya son 8 años ¿y el anillo pa' cuando? (Pdta: no me quiero casar, solo quiero mi anillo)"
"1";"36";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"La janeths y Mirtha molestando a Julinho. Jajajja "" y el anillo pa cuando"""
"1";"37";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Jajajaja enserio más directa no puedes ser amor"
"1";"38";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Riccardo Falzone 😂😂😂 STO MORENDO, mi sei venuto in mente quando è partita la canzone: el anillo pa' cuandoo"
"1";"39";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Ernesto Mayo Flores.... Como cuando hostigué al Willi y le dio el anillo a Samara SalVe jajajajajajjajajajajajaja"
"1";"40";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Valeria Medina Tapia jajajajaja😂😂🤣🤣.. me mataaan estosss chiquisss😂🤣🤣 (ya nos vi yaaa🤨🤓😂😂)"
"1";"41";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Sandra amiguii mira lo que encontré... Jajaja 😂😂... dejaré esto por aquí"
"1";"42";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Yuriko Molina Cáceres estoy para apoyarte así como la vez del 1/4 de pollo jajajajajaja"
"1";"43";"1";"966205540254222";"data";"data.*";"fetched (200)";"2023-10-01 15:48:58.897882";"Facebook:/<comment-id>/comments";"";"Ya saben Lizet Bravo Karina Huayllani Cuti yo les organizo sus bodas super rápido 😂😂😂😁"
