"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"580544210447892";"seed";"";"";"None";"None";"";""
"1";"2";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Gracias por enseñarnos Damian y El Toyo    cada programa. Uno aprende con un poco de humor el Perú va adelante"
"1";"3";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Y el tío tomando aire para no reventarlo al toyo"
"1";"4";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Que divertido 😅,no he parado de reír ."
"1";"5";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Lo q diariamente pasa en los trabajos...🤬🤬🤬😔"
"1";"6";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Más armado que mi troncho"
"1";"7";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Esto es 1000000000000000000000000000000 x 10000000000000000 veces mejor que esos vídeos donde simulan discriminar al mesero y luego aparece el millonario."
"1";"8";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"😀 😀 Ptm los tavasos fueron de verdad 😀😀"
"1";"9";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Toyo te has llevado tu goma... Siempre te agarran de punto jajja que Damián haga una para que se lleve su goma"
"1";"10";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"He conocido gente así y ni siquiera los  dueños o gerentes, al mesero siempre lo trapozean..."
"1";"11";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Lo agarraron como pelota 🤣🤣🤣🤣"
"1";"12";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Tamre hasta a mi me dolió ese patadon  csmre jajajajajajaja"
"1";"13";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Ya pero los chifas de chinos si tratan mal a sus empleados xd"
"1";"14";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Jajajaajajaj lo gomearon al Toyo jajajaajaj"
"1";"15";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Enamorada de esos héroes ❤️ definitivamente necesitamos de gente con empatía por el prójimo 🙏🫶"
"1";"16";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Casi casi se me sale una lagrimita😢 del mal q lo grita al muchacho q solo quwria permiso para estudiar 😭me recuerda a mi caso.de ahi me recorde q es una camar escondida y se me pasa jjjj"
"1";"17";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Buena damian eres grande muchas bendiciones desde aqui tus hinchas trujillanos"
"1";"18";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"El señor de lentes me dejó pensando dijo ni que fuera tu sirviente, luego  acaso le pagas 4000, 5000?para q le grite así ? Osea si fuese el caso si esta permitido el mal trato?🤔😬"
"1";"19";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"El toyo"
"1";"20";"1";"580544210447892";"data";"data.*";"fetched (200)";"2023-09-25 21:32:41.177434";"Facebook:/<post-id>/comments";"";"Lo máximo Damian y El Toyo  me hacen reír un montón los felicito arriba los éxitos"
