"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"739767181147267";"seed";"";"";"None";"None";"";""
"0";"2";"None";"2999239387059294";"seed";"";"";"None";"None";"";""
"0";"3";"None";"203102485310304";"seed";"";"";"None";"None";"";""
"0";"4";"None";"590290258809925";"seed";"";"";"None";"None";"";""
"0";"5";"None";"2598583747106122";"seed";"";"";"None";"None";"";""
"0";"6";"None";"752829238945514";"seed";"";"";"None";"None";"";""
"0";"7";"None";"2154011181300881";"seed";"";"";"None";"None";"";""
"0";"8";"None";"771246916414735";"seed";"";"";"None";"None";"";""
"0";"9";"None";"722610807945013";"seed";"";"";"None";"None";"";""
"0";"10";"None";"720297564843004";"seed";"";"";"None";"None";"";""
"0";"11";"None";"705521169653977";"seed";"";"";"None";"None";"";""
"0";"12";"None";"685250465014381";"seed";"";"";"None";"None";"";""
"0";"13";"None";"680124338860327";"seed";"";"";"None";"None";"";""
"0";"14";"None";"651610595045035";"seed";"";"";"None";"None";"";""
"0";"15";"None";"596550083884420";"seed";"";"";"None";"None";"";""
"0";"16";"None";"593621007510661";"seed";"";"";"None";"None";"";""
"0";"17";"None";"591716647701097";"seed";"";"";"None";"None";"";""
"0";"18";"None";"581462398726522";"seed";"";"";"None";"None";"";""
"0";"19";"None";"536891189850310";"seed";"";"";"None";"None";"";""
"0";"20";"None";"501612293378200";"seed";"";"";"None";"None";"";""
"1";"21";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Me encanta la sencillez de este caballero exitoso y sobretodo,  sus recetas en español💯"
"1";"22";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Hola Franco Dios te bendiga"
"1";"23";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Se ve buenísimo 😋"
"1";"24";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Que gusto verte, saludos y abrazos."
"1";"25";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Ah y que interesante aceite de europa como que todos aceites de oliva son igual ah si manda pay check no merece ser pago"
"1";"26";"1";"739767181147267";"data";"data.*";"fetched (200)";"2023-10-05 19:41:28.824463";"Facebook:/<comment-id>/comments";"";"Puedo usar aceite extra virgen de Perú?"
