"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"719749443192212";"seed";"";"";"None";"None";"";""
"1";"2";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Que es  esto club de groserias"
"1";"3";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Que asco"
"1";"4";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"El Perú es el país de la envidia"
"1";"5";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Es divertido su programa, hablando huevadas, la gente tiene envidia. Sigan adelante."
"1";"6";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Alzamora,te pregunto si te parece gracioso q ese par de imbéciles q entrevistas se burlaran de niños con habilidades diferentes o de la jovencita q sufrió acoso en un transporte público ?????? Por q no se los preguntaste si ambos hechos tuvieron resonancia mediatica, si tu funges de periodista  supongo q tendrás conocimiento de lo ocurrido o tu entrevista era un publicherry pagado??"
"1";"7";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Me encanta hablando huevadas a Ricardo Y Jorge son lo máximo ♥️"
"1";"8";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Un par de malcriados y atorrantes  no hay nada de cultura por eso los jovenes son despistados"
"1";"9";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Cada quien es libre de decir lo que quiera en la redes o aser sus videos en youtube ahora la estos tipos nos dicen va verdad ala prensa vendida  que es pagada por el gobierno"
"1";"10";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Por qué no llevan para su elenco a Dina Balearte, ella siempre está hablando hvds!!!"
"1";"11";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Hermanos eso es en todos los artistas siempre buscan como tener noticias sin que sean verdad. Sigan adelante es un buen trabajo el que hacen ya casi veo todos los programas en youtube"
"1";"12";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"De qué hablaron¿?"
"1";"13";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Después de escucharlos y ver que la gente consume esto, nos quejamos del por qué estamos así como país 😁"
"1";"14";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Qué bacan debe ser ganarse la vida hablando ""huevadas"" sin aportarle nada a la audiencia, no?  No estudien, no lean, no se molesten en educarse ni mucho menos en tener pensamiento crítico de la realidad nacional. Para qué, si podemos ser igual a ellos y ganar lo suficiente para vivir cómodamente."
"1";"15";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Insultar la religión de una manera grotesca, como lo hicieron en su último programa . Se me cayeron ,como artistas que eran"
"1";"16";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"La verdad que solo sirve para chistes, escucharlo hablar de otros temas, aburre."
"1";"17";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Nunca me imagine que  se pudiera hablar tanta lisura en plataformas que estan expuestas a todos grandes y chicos.......q pena"
"1";"18";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Yo he visto , veo muchos vídeos de hablando huevadas, es un mate de la risa.... PERO. Todo tiene sus límites.... Ha temas que se deben tomar con pinzas y no me dejó llevar por un comentario. Veo el vídeo , pero por salud mental hay cositas , que prefiero dejarlas ahí y no verlas. No necesitan hacer escarnio o mofarse de ciertos temas.... Hablando de cualquier otra cosa te hacen kgr dea risa. Solo es una humilde opinión."
"1";"19";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Y eso en qué afecta al programa número 1 de la televisión peruana, El Chavo del Ocho"
"1";"20";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"La libertad de expresión  siempre será en democracia"
"1";"21";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Él solo escucharlo se nota que no hay nada de cultura en lo que dicen!!!!!!! solo se dedican a hablar puras groserías y creen que se ve bacán tener ese léxico!! Y lo peor es que la gente va a verlos a pagar lo que hacen su show de groserías al 100% eso es el país en el que uno vive y así piden en cambio..!!!"
"1";"22";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Listo, ahí tenemos dos congresistas,"
"1";"23";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Es una lástima escuchar y ver que éste par de sujetos que solo saben decir una sarta de vulgaridades sean famosos y les digan ""cómicos "" eso regleja lo mal que estamos como sociedad 😑"
"1";"24";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Puro lenguaje bagre"
"1";"25";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Pura basura visual y auditiva"
"1";"26";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";"Nunca he visto los vídeos de este canal, pero este contenido me parece demasiado vulgar,  ojalá que no sea toda la promoción del canal sino sería una lastimá, o acaso solo para obtener números son capaces de todo y no tener límite, nisiquiera de  respetar la dignidad humana?  Al menos yo no volveré a ver ningún vídeo relacionado porque no me gusta la vulgaridad :)"
"1";"27";"1";"719749443192212";"offcut";"";"fetched (200)";"2023-09-28 22:21:00.824658";"Facebook:/<post-id>/comments";"";""
"1";"28";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"El humor que hacen es un humor vulgar, de cloaca, humor barato lleno de groserías"
"1";"29";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Mucha lisura la verdad eso es para hablarlo entre patas, pero asi suelto de huesos tampoco, creo viene del mismo dueño del programa Jesús Alzamora, el debe moderar el lenguaje"
"1";"30";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Jajaja aquí hay mucho ilustre ciudadano .. piden comedia inteligente si igual ni la entienden .. dejen de hacerse los listos q parecen pendejos"
"1";"31";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Se ofenden por como se expresan o por sus comentarios q son muy subliminales para sus menores hijos pero no joden cuando dejan ver esa mierda de esto es guerra que nada bueno da y sin mencionar el tipo de musica que les dejan oir. Simplemente si no les gusta no lo vean y punto cada quien en lo suyo y en sus gusto pues al final uno ve , escucha lo que desea"
"1";"32";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Tu lugar era con machin con tu sandia en hombros ahi simple y sencillo era lo.maximo un genio ahora um pobre recien superado mas.HUMILDAD."
"1";"33";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Simplemente son un par de patas que hablan lo que tú y yo hablamos entre patas y disen al aire lo que la mayoría no puede desir al aire que magia hay en eso  Les puedo felicitar por el emprendimiento si quieres desir novedoso entre comillas para nuestra industria peruana de entretenimiento  Limitado  Pero hasta allí aplaudo el emprendimiento y el ingenio de las personas sea cual sea el trabajo  Pero jamás apoyaré alas personas que joden a otras para ganarse un billete no matando porque ellos no matan pero si hieren y Habeses las palabras hacen mucho daño y son más letales si no sabes dirigirlas con coherencia la verdad no es por juzgar   Pero así como hay u. Programas Ho ya programas como estos  Da lastima que no Aya programas que te hablen claro y que te desáhueven ala juventud pero no con tintes políticos Ho favorcitos a mediado Ho largo plazo  Si por querer y insentivar y plantar la semilla del conocimiento con valores en los jóvenes y niños y sobre todo amar y respetar al próximo  Pero como no hay un vivo un bravo que haga un tipo de programa así para la juventud  Tipo un marco Aurelio  Pero de estos tiempos Ho un Tulio losa  Un selos Álvarez  Ósea gente con cerebro y chispa  Pero repito no para hacerse famosos Ho ricos sino con vocación de servir a nuestra niñez y juventud  Qie se le premie con laptops y hasta un buen carro aún chico que estudia y se saca la migre y no se le premie a cualquier pendejo Ho pendeja que por filmarse tirando ya creen qie son famosos y lo peor que la televisión basura se presta para programas lacras así como Magaly tv  Ojalá un productor con cerebro 🧠 y con verdadero amor alablanquiroja haga un programa así para nuestra juventud y niñez y así ayudar con ese money a insituciiones albergues y barrios postas y canchas de ful bito y muga cosas que pueden hacer creser esa semilla de que hablar un carajo y sientas lisuras esta bien depende el lugar y con quien  Pero más importante es hacerle entender ala juventud que la vida es  corta que la vida no solo es vivirla hablando huevadas sino que la vida es más que eso  Quien no habla huevarás  Pero muy pocos viven de eso  Suerte de estos chicos que lo hicieron bacan  Pero hasta su vejez seguirán viviendo de esto  Piensa con inteligencia chico Ho chica sin trabajo no hay recompensa"
"1";"34";"1";"719749443192212";"data";"data.*";"fetched (200)";"2023-09-28 22:21:01.130617";"Facebook:/<post-id>/comments";"";"Veo su programa y digo no tienen que reclamar si la prensa es amarillista o no, por qué ellos son parte de ello también por qué no se pronuncian nunca sobre eso, si no dices nada cuando hay delito eres cómplice. Simple."
