"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"144084267495822";"seed";"";"";"None";"None";"";""
"0";"2";"None";"725305201395254";"seed";"";"";"None";"None";"";""
"0";"3";"None";"441037906980377";"seed";"";"";"None";"None";"";""
"0";"4";"None";"697373171453629";"seed";"";"";"None";"None";"";""
"0";"5";"None";"491249495737728";"seed";"";"";"None";"None";"";""
"1";"6";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Bueno saber que te devolvieron tu cuenta Umi. (Y)"
"1";"7";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Ya esos arabes bambas, me tenian hasta la ptmr... Y el pelucon de Wild con sus comentadas.. Pero ya todos estamos aqui felI de verte jefa!! "
"1";"8";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"umi la verdad la rata era un kk en el team, tanto asi que cuando el no jugo por su vieja el team gano 3-0"
"1";"9";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Lo bueno esq somos una familia.. Y si se meten con uno es con todos!! Nos querian ver caer y salimos mas fuertes!! "
"1";"10";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"PODRÍAMOS DECIR QUE SI ESTA BANEADA AUNQUE SI PUEDE HACER DIRECTOS, SOLO DE LA MORADA ES DONDE TIENE BAN "
"1";"11";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Para los haters: El sentirse alegre por las desgracias de otros quienes hacen bien las cosas, como que da para una terapia, algo no anda bien en esa cabezota"
"1";"12";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Yo no te insultare jefa los insultos son para esas personas q no tienen nada q hacer mas q malograr a otras personas"
"1";"13";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Umita, cuidado con los hackeos, después te filtran el pack. Por cierto, dile a Windy Girk que te preste al Ángel Gagriel para que te proteja."
"1";"14";"1";"144084267495822";"data";"data.*";"fetched (200)";"2023-10-01 19:05:51.063993";"Facebook:/<comment-id>/comments";"";"Umi me iré a descansar ya que estoy con malestar 🤕🤒🤮 cuídate. Me alegro mucho porque ya te podemos ver en directo "
