"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"2";"None";"630750614924803";"seed";"";"";"None";"None";"";""
"0";"3";"None";"3963455660362592";"seed";"";"";"None";"None";"";""
"0";"7";"None";"372233297036050";"seed";"";"";"None";"None";"";""
"0";"11";"None";"232006224139555";"seed";"";"";"None";"None";"";""
"0";"12";"None";"1284334331578767";"seed";"";"";"None";"None";"";""
"0";"13";"None";"1414262538585945";"seed";"";"";"None";"None";"";""
"1";"14";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Las hijas de kingteka tienen buena coreo. GA"
"1";"15";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"estas en pasta causa"
"1";"16";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Puedo ver este video un millón de veces y no me canso uwu"
"1";"17";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"xddx"
"1";"18";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Valerie Nj  que fue con tu show? tas facturando por eso andabas botadasaa??"
"1";"19";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Los skeres"
"1";"20";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"prende chompi"
"1";"21";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"solo apsa en Perú"
"1";"22";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Dicen que se vió esos pasitos Skeres en el tono de Infinity"
"1";"23";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Greys Sajami que haces ahí"
"1";"24";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Gimena FT  tu misma eres"
"1";"25";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"ACCEL  la bajas bien elegante pastel :v"
"1";"26";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Queda chavo jerichel Teka y Kirito xdxdxd"
"1";"27";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Mira amor Lesly Jubicza Michi Katashunga"
"1";"28";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Zulaidy Esthefanie ED  tu y tu amigas en la disco jajaaj"
"1";"29";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Xddd"
"1";"30";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Fernando Lc cuando lleguemos a pisos"
"1";"31";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Diego Rosillo xD q fue ahí"
"1";"32";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Alonso Loewexd quemó tu chompi jajaja"
"1";"33";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Prende ps MOSCASOR"
"1";"34";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Yrvin Ali xddd"
"1";"35";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Deivy M Rivas Ya estamos finosss"
"1";"36";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Smash, Kingteka, Jericho y Panda"
"1";"37";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Fiesta de los skere :v"
"1";"38";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";"Que lindo bailas 🤭 Mel Nina"
"1";"39";"2";"630750614924803";"offcut";"";"fetched (200)";"2023-10-03 20:29:29.755992";"Facebook:/<comment-id>/comments";"";""
"1";"40";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Luis Anthony Toledo Avendaño ya están famosos xD"
"1";"41";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Anderson Lombardixd"
"1";"42";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Diego BPrincipe Rivera"
"1";"43";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Raf Pulido"
"1";"44";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Luis Kobayashi Gerardo Gutarra Saman"
"1";"45";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"🤣🤣🤣"
"1";"46";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Sophie Casalino"
"1";"47";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Adriana Mejia jaaaaa"
"1";"48";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Todos eso pasos los he visto en tiktok 😂😂"
"1";"49";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Que hace ahi jericho, madara, kingteka y hector k1?"
"1";"50";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Prima Katty Villa  no se por que pero se me hace familiar 😁😁"
"1";"51";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Xdddddddddd"
"1";"52";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Los skeres en tono"
"1";"53";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Carla Casique Caldas pe rre o, extremo"
"1";"54";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Jhordan Sanchezxdxdxdxd manoxdxdxd qfoe xd"
"1";"55";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Veronica Navarro para el 26 Nana Mejía Wall"
"1";"56";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Roxana Hermoza  imagino que ya contrataste este espectacular show para tu cumple 🤣"
"1";"57";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Yoshh Cordova  xddd"
"1";"58";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Sácate esa coreografía Kim Lalà  jaja xD"
"1";"59";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Ruth Cartagena Jajajsjsjsjajajqjw"
"1";"60";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Erick Parodi Cantaro  :0"
"1";"61";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Kimberly Esther Acuña Chillcce  ._."
"1";"62";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Diego Huayta Arteaga"
"1";"63";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Brian Marcos controla a tus primas 🤧"
"1";"64";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Senior Resbaloso  , Mayron Lozano  , ACCEL y alf  :v"
"1";"65";"2";"630750614924803";"offcut";"";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";""
"1";"66";"2";"630750614924803";"data";"data.*";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";"Perturbador."
"1";"67";"2";"630750614924803";"offcut";"";"fetched (200)";"2023-10-03 20:29:30.272841";"Facebook:/<comment-id>/comments";"";""
"1";"68";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Tu viejo"
"1";"69";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";""
"1";"70";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"mucha cirugia ya lo malogro a koki xDD yo pense que esos ojos eran un filtro "
"1";"71";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Estabas vivo chompi?? Pensé que te habías mudado con atún y ser felices"
"1";"72";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Con orgullo habla de nosotros ,no como otras personitas que nos niegan :("
"1";"73";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chavosor por que la beba mira para dos direcciónes?? xdd"
"1";"74";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chompi te extraño papi cuando prendes stream :'c"
"1";"75";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"moscasor cuando vas a prender?"
"1";"76";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"OEEEE TE EXTRAÑO COMO NUNCA BEBÉ PRENDE MOSCA MUERTA"
"1";"77";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"PRENDE STREAM CHOMPI TE EXTRAÑAMOS"
"1";"78";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Gerardo Ronald, madre ha hablado, hay que ser justicieros xddddd "
"1";"79";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chompi para cuando prendes ? :'v "
"1";"80";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chavosor cuando prenderas de nuevo :v"
"1";"81";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Ese sideral ahora se cree reina"
"1";"82";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chompiii cuando estream papi"
"1";"83";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Que fue loco?"
"1";"84";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Ay mi beba dando su mensaje a la nación"
"1";"85";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"Chavito mano prende stream"
"1";"86";"3";"3963455660362592";"data";"data.*";"fetched (200)";"2023-10-03 20:29:35.407846";"Facebook:/<comment-id>/comments";"";"A él más tumbenlo ps"
