"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1629024470521219";"seed";"";"";"None";"None";"";""
"1";"2";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Zzandra ZN mira esa maravilla 😍 para mi cumple  puede ser 🤗 porque tu ya decidiste tu temática no?"
"1";"3";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Que hermoso Ale!! Para seguir la tradición este año le preguntaré a Flavia q quiere, ahí te sorprendemos! 😊😊"
"1";"4";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Hizo una Penélope! Así se llama el cerdo ángel de los imposibles! Hasta los chanchos vuelan!"
"1";"5";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Stefany Angulo mejor descrito no puede estar! CERDOCORNIO para galita!"
"1";"6";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Nehemias Rivera Cadena mi torta de.cumpleañossssss con una corinta porfii"
"1";"7";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Gisse M Laura Lavado para abril solo.esto quiero.nada mas jaja"
"1";"8";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Maria Gracia Tejada creo que este será tu nuevo animal favorito"
"1";"9";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Me encantaaaa el cachito multicolor: divino !"
"1";"10";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Cuando encuentras un 🎂 que define tu personalidad 😍"
"1";"11";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Eric pofavol para mi cumple☝️"
"1";"12";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Manuel te imaginas una torta pollo? 😍👌💞"
"1";"13";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Me encamta!!!!"
"1";"14";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"que bella!!! 😍"
"1";"15";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Nayeli S. Valdivia para ti loca"
"1";"16";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Jajajajaj q buena"
"1";"17";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Que hermoso!!"
"1";"18";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Hermosa"
"1";"19";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Lo máximo! 💗"
"1";"20";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Q  hermosa"
"1";"21";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Preciosa Ale!"
"1";"22";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Hermoso cerdocornio!"
"1";"23";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Quebella💓💓💓"
"1";"24";"1";"1629024470521219";"data";"data.*";"fetched (200)";"2023-10-07 19:45:49.335955";"Facebook:/<comment-id>/comments";"";"Piggycorn! 💗"
