"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"298748892856333";"seed";"";"";"None";"None";"";""
"0";"2";"None";"1237700173615606";"seed";"";"";"None";"None";"";""
"0";"3";"None";"1277200809573921";"seed";"";"";"None";"None";"";""
"0";"4";"None";"880142279754599";"seed";"";"";"None";"None";"";""
"0";"5";"None";"163791779925517";"seed";"";"";"None";"None";"";""
"0";"6";"None";"487572996288965";"seed";"";"";"None";"None";"";""
"0";"7";"None";"4548256461863867";"seed";"";"";"None";"None";"";""
"0";"8";"None";"351282029926118";"seed";"";"";"None";"None";"";""
"0";"9";"None";"185722462617220";"seed";"";"";"None";"None";"";""
"0";"10";"None";"1793944000718144";"seed";"";"";"None";"None";"";""
"0";"11";"None";"1476095895814431";"seed";"";"";"None";"None";"";""
"0";"12";"None";"1383478515076170";"seed";"";"";"None";"None";"";""
"0";"13";"None";"1339327196157969";"seed";"";"";"None";"None";"";""
"0";"14";"None";"1327388687351820";"seed";"";"";"None";"None";"";""
"1";"15";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Bien venido al mundo mágico de los libros ,mucha creación, interpretación, inspiración etc. Una nueva faceta en tu vida, felicitaciones, por tus logros, que sigan los éxitos para ti, bendiciones"
"1";"16";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Imperdible,  iré por mi libro y luego firma de libros porfavor."
"1";"17";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades 👏 te lo mereces ❤️❤️❤️"
"1";"18";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades y bendiciones"
"1";"19";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades 💐"
"1";"20";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades!!! Te apoyamos 🙌🏻🙌🏻"
"1";"21";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Genial"
"1";"22";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Suena interesante, lo agregaré a mi lista de pendientes ✌️"
"1";"23";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Cuando hay firma de libros?"
"1";"24";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Yo quiero con todo y autógrafo"
"1";"25";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Éxitos!"
"1";"26";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Genial"
"1";"27";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Excelente 👌"
"1";"28";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades papi nombre de libro por favor"
"1";"29";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Biennn"
"1";"30";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades 😊"
"1";"31";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades"
"1";"32";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades Bruno Pinasco 🎉🥳...y q sigan los Éxitos 🌟🌟...Vibras ✨✨"
"1";"33";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicitaciones  bendiciones"
"1";"34";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicidades 💐 mucho éxito 🎇👏"
"1";"35";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Ohhh que bien !!! Te felicito!! Muchos éxitos, lo quiero autografiado😁"
"1";"36";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Felicitaciones Bruno Pinasco, por esta obra, es un gran logro de tu parte, como también admirable que de una persona emane conocimiento, una obra como esta."
"1";"37";"1";"298748892856333";"data";"data.*";"fetched (200)";"2023-10-04 19:43:15.413462";"Facebook:/<comment-id>/comments";"";"Excelente ✌️ estare atento a comprarlo."
