"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1494243277335227";"seed";"";"";"None";"None";"";""
"0";"2";"None";"1444665125626376";"seed";"";"";"None";"None";"";""
"0";"3";"None";"1436961853063370";"seed";"";"";"None";"None";"";""
"0";"4";"None";"1436779123081643";"seed";"";"";"None";"None";"";""
"0";"5";"None";"1402272583198964";"seed";"";"";"None";"None";"";""
"0";"6";"None";"1055623434530549";"seed";"";"";"None";"None";"";""
"0";"7";"None";"892938170799077";"seed";"";"";"None";"None";"";""
"0";"8";"None";"892485374177690";"seed";"";"";"None";"None";"";""
"1";"9";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Que delícia"
"1";"10";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Preciosa mi danielita"
"1";"11";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";""
"1";"12";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Tomé su like"
"1";"13";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";""
"1";"14";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";""
"1";"15";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Lo qué Dr. Me recomendó y es tamaño adecuado a mi Malestar 📣🌶👠👅💣💥"
"1";"16";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Damn gorgeous n sexy"
"1";"17";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"rico poto dani <3"
"1";"18";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"PRECIOSA :)"
"1";"19";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Bombom❤"
"1";"20";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"👋👋👋🔥🔥😈"
"1";"21";"1";"1494243277335227";"data";"data.*";"fetched (200)";"2023-10-08 18:06:25.761846";"Facebook:/<comment-id>/comments";"";"Piscinita bakano"
