"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1277804642695781";"seed";"";"";"None";"None";"";""
"0";"2";"None";"213169250379112";"seed";"";"";"None";"None";"";""
"0";"3";"None";"2026975894218703";"seed";"";"";"None";"None";"";""
"0";"4";"None";"1950753995174227";"seed";"";"";"None";"None";"";""
"0";"5";"None";"1896428780606749";"seed";"";"";"None";"None";"";""
"0";"6";"None";"1880667575516203";"seed";"";"";"None";"None";"";""
"0";"7";"None";"1864815567101404";"seed";"";"";"None";"None";"";""
"0";"8";"None";"1849839328599028";"seed";"";"";"None";"None";"";""
"0";"9";"None";"1848259995423628";"seed";"";"";"None";"None";"";""
"0";"10";"None";"1803600049889623";"seed";"";"";"None";"None";"";""
"0";"11";"None";"1792987437617551";"seed";"";"";"None";"None";"";""
"0";"12";"None";"1754779728104989";"seed";"";"";"None";"None";"";""
"0";"13";"None";"1675862465996716";"seed";"";"";"None";"None";"";""
"1";"14";"1";"1277804642695781";"empty";"";"error (400)";"2023-10-09 20:59:47.770989";"Facebook:/<comment-id>/comments";"";""
"1";"15";"1";"1277804642695781";"offcut";"";"error (400)";"2023-10-09 20:59:47.770989";"Facebook:/<comment-id>/comments";"";""
"1";"16";"2";"213169250379112";"empty";"";"error (400)";"2023-10-09 20:59:48.110781";"Facebook:/<comment-id>/comments";"";""
"1";"17";"2";"213169250379112";"offcut";"";"error (400)";"2023-10-09 20:59:48.110781";"Facebook:/<comment-id>/comments";"";""
"1";"18";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Felicitaciones Keren Montenegro! Eres una de las 5 ganadoras! Mandame un inbox!!"
"1";"19";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Felicitaciones Andrea Bravo Dedo!! Eres una de las 5 ganadoras! Mandame un inbox porfaaa"
"1";"20";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Felicitaciones Yenifer AR! Eres una de las 5 ganadoras! Escribeme un inbox porfa!!"
"1";"21";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Felicitaciones Andrea Salguero Sayerz! Mandame un inbox!"
"1";"22";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Felicitaciones Karen Mendez! Eres una de las 5 ganadoras!! Mandame un inbox porfa 💕"
"1";"23";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Opción favorita ufffff son muchas una el monedero bello colores precisos y a la moda, la otra es la pashmina bella quedaria con su conjunto que tiene y para terminar la cartera son del tamaño preciso para que entre todas sus cositas como su biblia"
"1";"24";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Mi opción favorita es la cartera reversible porque tiene el tamaño preciso para las cosas que siempre lleva mi mamá y también porque de esa manera tiene dos opciones para combinar con sus outfits :)"
"1";"25";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Me encanta la opción de la cartera crema porque queda con todo y para las mamis es ideal tener colores así para combinar con todas sus prendas. Me encanta PARFOIS y a mi mami Lily Reyes también! Espero ganar 😊"
"1";"26";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Todo está hermoso, pero creo que lo que más me impacto es la cartera, bueno lo digo pensando en mi mamá ya que de por si lleva todas sus cosas y a veces no se ordena bien, así que creo que la beige le iría bien, cae con su estilo y la ayudaría demasiado💙"
"1";"27";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Que difícil elegir todo esta bello, pero lo que le encanta a mi mami ya que se acerca el invierno es la pashmina gruesa ella siempre le gusta estar calentita ya que no es una persona de frío 😊 eso le cairia a pelo para este día de la madre ❤️✨ espero poder ganar Caro y muchos saludos y vibras con tu canal!"
"1";"28";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Me encanta #Parfois  Mi favorita fue la cartera color camel reversible!Es un accesorio que puede combinarse con todo y sería muy práctico por si se lleva muchísimas cosas y se quiere ordenar todo en ella!"
"1";"29";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Me encantan los bolsos y carteras de #Parfois 😍  Mi opción favorita fue la cartera color camel porque es reversible :') Es un regalo super bonito para mi mami porque es único y puede combinarse con todo!! Además que ella siempre lleva muchísimas cosas y todo entraría ahí :') Espero ganar para poder engríe a mi mamá en su día 🌸😊"
"1";"30";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Todo esta precioso! 💗💚 Es difícil pensar en solo uno uu pero pensando en lo que mi mamá necesita más optaría por la primera cartera, me parece muy práctica y suuuuper espaciosa como a ella le gustan! Además el qur sea reversible me parece genial 💓💓 ojalá y sea una de las afortunadas ^^ Graacias x el bello sorteo Caro 💜"
"1";"31";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Me encanto el sombrero!! Esencial para este otoño-invierno y con el clima loco de lima que llueve y sale sol 🤦🏻‍♀️ conocí PARFOIS cuando viaje a España y me compre mil cositas para mi mami y para mi de esa marca.. me alegro que ahora estén en Peru!! Buen point para un bello regalo para mami ❤️ 🤗🛍👒👜"
"1";"32";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Todo está demasiado hermoso 😍 Aunque definitivamente me quedaría con cualquiera de las dos carreras o la billetera, de verdad están preciosas! Sobre todo porque reconozco que mi mamá sí utiliza carteras grandes para que entre todo🤩🤩, incluyendo la billetera llena de vouchers 😝"
"1";"33";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"La cartera color camel me encanto es el color perfecto para mi mamá. Ya que ella lleva siempre de ese estilo grandes  por que cuando salimos siempre lleva lo indispensable jajaja además que a mi hermano o yo  siempre nos enfermamos del estomago o de la cabeza en las salidas familiares y ella lleva allí las pastillas o nuestros DNI .💕"
"1";"34";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Holaaaaa Fashaddicti, me encantó la cartera crema de PARFOIS con el neceser incluido❤❤❤❤. Me parece el regalo perfecto para mi mami💕, ya que ama usar ese tipo de carteras, son muy de su estilo, sé que sería muy feliz con un regalito así 🎁. En sí adoré todos los productos que mostraste, están muy bonitos, pero la cartera sería el regalo ideal de mamá 😍❤"
"1";"35";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Me reencanto la cartera van el, es un básico para esta temporada, me gusta que puedes guardar muchas cositas, porque una mamá lleva de todo en su cartera es como "" mochila de Sport Billy"" allí todo encuentras. Feliz día a todas las mamitas💁"
"1";"36";"3";"2026975894218703";"data";"data.*";"fetched (200)";"2023-10-09 20:59:49.256120";"Facebook:/<comment-id>/comments";"";"Mi Opción favorita fueron las carteras pero por sobretodo la la cartera reversible , súper linda y espaciosa justo lo que necesita mi mamá!! Como dices Caro , las mamás siempre guardan infinidad de cosas en sus bolsos y todo lo que necesites ellas siempre lo tendrán y te lo darán 😄😄😍🙈🎉🎉🎉"
