"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"536687884090144";"seed";"";"";"None";"None";"";""
"1";"2";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Desde Chile los sigo con mucho gusto!!! Amo el equipazo que son ❤ tuvimos la oportunidad de ir a Perú antes de la pandemia y en un tour de regreso a Lima nos mostraron una película en la que ustedes aparecen brevemente ""11 machos"" y llegando a Chile vimos ""si, mi amor"" los amo y me encanta la familia que son 👏🏻👏🏻👏🏻"
"1";"3";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Jajajaja siempre me causan risa....me alegran son muy ocurrentes Dios los siga bendiciendo."
"1";"4";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Jajaja son los mejores🤣❤️❤️"
"1";"5";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Jajajjajaja k locazos ustedes si k me divierten con sus ocurrencias"
"1";"6";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Me gusta el robot de atras. Por favor como lo hicieron para hacerle uno a mi hijo."
"1";"7";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Me gusta como hacen sus locuras los amo 😍"
"1";"8";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Smith Dávila Reymundo amor ya sabes! Así se juega 🤩🥳😎"
"1";"9";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Me encantan,son todo un caso,jajaja"
"1";"10";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Rebeca Gamero Aparicio de este mix te hablaba jajajajaj q ojalá ya esté en la disco :v"
"1";"11";"1";"536687884090144";"data";"data.*";"fetched (200)";"2023-09-24 17:32:01.125109";"Facebook:/<post-id>/comments";"";"Tal para cual buena dupla lindo los dos besitos"
