"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"936809090394369";"seed";"";"";"None";"None";"";""
"0";"2";"None";"165145655150312";"seed";"";"";"None";"None";"";""
"0";"3";"None";"833441080545883";"seed";"";"";"None";"None";"";""
"0";"4";"None";"411377059961374";"seed";"";"";"None";"None";"";""
"0";"5";"None";"463839607965518";"seed";"";"";"None";"None";"";""
"0";"6";"None";"407356100324020";"seed";"";"";"None";"None";"";""
"0";"7";"None";"413246616663058";"seed";"";"";"None";"None";"";""
"0";"8";"None";"440062530497747";"seed";"";"";"None";"None";"";""
"0";"9";"None";"387599299189259";"seed";"";"";"None";"None";"";""
"0";"10";"None";"438950703787122";"seed";"";"";"None";"None";"";""
"0";"11";"None";"357400328584424";"seed";"";"";"None";"None";"";""
"0";"12";"None";"540954703524909";"seed";"";"";"None";"None";"";""
"0";"13";"None";"226450568760730";"seed";"";"";"None";"None";"";""
"0";"14";"None";"2243969012576572";"seed";"";"";"None";"None";"";""
"0";"15";"None";"551460388833377";"seed";"";"";"None";"None";"";""
"0";"16";"None";"1090024738024385";"seed";"";"";"None";"None";"";""
"0";"17";"None";"107174894058988";"seed";"";"";"None";"None";"";""
"0";"18";"None";"3383359308403711";"seed";"";"";"None";"None";"";""
"0";"19";"None";"584079585658276";"seed";"";"";"None";"None";"";""
"0";"20";"None";"549417845790753";"seed";"";"";"None";"None";"";""
"0";"21";"None";"1196327580565201";"seed";"";"";"None";"None";"";""
"0";"22";"None";"421932165086994";"seed";"";"";"None";"None";"";""
"0";"23";"None";"482056985907532";"seed";"";"";"None";"None";"";""
"1";"24";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Parece chiste pero es anécdota 😂 me pasó con el taxista que decidió aceptar una carrera al aeropuerto siendo su última pasajera yo y ya casi para el toque de queda, lo llamó su mujer que porqué no llegaba a su casa y videollamada todavía, yo toda incómoda ahí escuchando todo y él sudando frío porque su mujer le dijo hasta de qué iba a morir 🤣🤣🤣🤭 pobree 🤭 después el silencio incómodo 🤐"
"1";"25";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Mejor era la otra chica la que hablaba por teléfono esa era un mate de risa pero igual haz más vídeos"
"1";"26";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Alondra parece chiste pero es anécdota jajajaja"
"1";"27";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Guillermo Rosales Flores lo etiquetas tú o lo hago yo?"
"1";"28";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Por un momento pensé que estaba grabando en su cochera, pero luego vi bien y literal si esta manejando jajajaja."
"1";"29";"1";"936809090394369";"data";"data.*";"fetched (200)";"2023-10-01 16:32:05.020200";"Facebook:/<comment-id>/comments";"";"Me parece o estás gordo???"
