"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1332004113566269";"seed";"";"";"None";"None";"";""
"1";"2";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Alejandra Guerrero xd Fuiste a verlo jugar fut :'v  Tamo Mateo🙄"
"1";"3";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"JAAJAJA"
"1";"4";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Anghi Del Aguila Alcantara Nathaly Diaz Cubas"
"1";"5";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Christian Flores 😂"
"1";"6";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Ximena Estrada Ato"
"1";"7";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Gonzalo Levano Alcala"
"1";"8";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"#TeamMateo"
"1";"9";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Jajajajaja la pichanga es sagrado xD"
"1";"10";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Luis PG has eso y te juro que empiezo a meter patadas ""casualmente"" a las piernas de todos tus amigos, incluyendote 7.7"
"1";"11";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Naomi Domínguez jajajaja te llevaré a más pichangas"
"1";"12";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Milagros Lucía Vilcherrez así era jajajajajajajajajajajajajaja"
"1";"13";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"#TeamMarisel #DignaSiempre #conqueximenamequeiramásmebasta #Comediante"
"1";"14";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Cielo Chavez  ya te veo sobri jajajaja"
"1";"15";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Que buenaaaa"
"1";"16";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Luis Vergara"
"1";"17";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Jhony. Lo supe cuando vi a Katherine en una de tus pichangas jaja"
"1";"18";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Camilo amor, llévame a tus pichangas jajajajajjajajajaja"
"1";"19";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Sebastian cualquier parecido con la realidad es coincidencia jajajaja"
"1";"20";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Dayana Aguayo Angulo ""ahí hay algo"" jajajajaja"
"1";"21";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"JAJAJAJA JAJAJAJA Angelica Sevillano Ximena Cruz Ana Inga qué imbéciles los hombres por mi madre jajajajaja XDDDD"
"1";"22";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Vero jajajajajajjaa no pues nunca nos llevaron a la pichanga ajjajajajajajja"
"1";"23";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Brady si la llevas a la pichanga, es oficial! Apunta sobrino 😂😂"
"1";"24";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Jazmin Colchado Chévez jajaajaja en un futuro no muy lejano xd me hablas por wspp si no entendiste no seas evidente comentando inf secreta jajajajaja"
"1";"25";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Brigitte jaja cuando todo es una confusión, felizmente me traduces bien la oscura mente de una mujer 😀😅😉"
"1";"26";"1";"1332004113566269";"data";"data.*";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";"Fiorella HEMOS CHAPADO DE PATAS AJAHAJAJAJAJAJAJAJAJSJAJAJAJAJJAJA CSM"
"1";"27";"1";"1332004113566269";"offcut";"";"fetched (200)";"2023-10-01 11:50:49.400517";"Facebook:/<post-id>/comments";"";""
