"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"3579194472318109";"seed";"";"";"None";"None";"";""
"0";"2";"None";"813347423649616";"seed";"";"";"None";"None";"";""
"0";"3";"None";"1302102797045435";"seed";"";"";"None";"None";"";""
"0";"4";"None";"958264905447751";"seed";"";"";"None";"None";"";""
"0";"5";"None";"237942377154361";"seed";"";"";"None";"None";"";""
"0";"6";"None";"2689144351313058";"seed";"";"";"None";"None";"";""
"0";"7";"None";"2669788413248652";"seed";"";"";"None";"None";"";""
"0";"8";"None";"2634526463441514";"seed";"";"";"None";"None";"";""
"0";"9";"None";"2574280102799484";"seed";"";"";"None";"None";"";""
"0";"10";"None";"1167722644629346";"seed";"";"";"None";"None";"";""
"1";"11";"1";"3579194472318109";"empty";"";"error (400)";"2023-10-08 10:50:46.566942";"Facebook:/<comment-id>/comments";"";""
"1";"12";"1";"3579194472318109";"offcut";"";"error (400)";"2023-10-08 10:50:46.566942";"Facebook:/<comment-id>/comments";"";""
"1";"13";"2";"813347423649616";"empty";"";"error (400)";"2023-10-08 10:50:46.961976";"Facebook:/<comment-id>/comments";"";""
"1";"14";"2";"813347423649616";"offcut";"";"error (400)";"2023-10-08 10:50:46.961976";"Facebook:/<comment-id>/comments";"";""
"1";"15";"3";"1302102797045435";"empty";"";"error (400)";"2023-10-08 10:50:47.230343";"Facebook:/<comment-id>/comments";"";""
"1";"16";"3";"1302102797045435";"offcut";"";"error (400)";"2023-10-08 10:50:47.230343";"Facebook:/<comment-id>/comments";"";""
"1";"17";"4";"958264905447751";"empty";"";"error (400)";"2023-10-08 10:50:47.508170";"Facebook:/<comment-id>/comments";"";""
"1";"18";"4";"958264905447751";"offcut";"";"error (400)";"2023-10-08 10:50:47.508170";"Facebook:/<comment-id>/comments";"";""
"1";"19";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Saludos desde Virginia USA, La u necesita darle oportunidad a sus juveniles 17 18 años...."
"1";"20";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Por gerarquia , experiencia y ser mundialista le basto la titularidad en el arco Jose Carvallo"
"1";"21";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Totalmente de acuerdo lo q le falta a la U es un medio centro"
"1";"22";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Buena voz!"
"1";"23";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Denis ya que de un Paso al costado... mal ese entrenador."
"1";"24";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Cravalho jerarquia? Mal cordova... no es para a U"
"1";"25";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Que me interesa de los cagones"
"1";"26";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"No me gusta Carando en la U pero es mejor q Osorio por experiencia"
"1";"27";"5";"237942377154361";"data";"data.*";"fetched (200)";"2023-10-08 10:50:47.896389";"Facebook:/<comment-id>/comments";"";"Mal audio"
