"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"275543228626098";"seed";"";"";"None";"None";"";""
"1";"2";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"El hombre más alto del Perú es Margarito!"
"1";"3";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"¡Muy buen documental, felicidades!"
"1";"4";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"BENDICIONES AMIGO"
"1";"5";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Erikson Cipriani Tello"
"1";"6";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"SALUDOS al veneco mas alto y reside en el Perú"
"1";"7";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Q tal será el clima arriba 🤪😁"
"1";"8";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Informen bien digan el venezolano mas alto en Perú asta en eso mienten está prensa corrupta"
"1";"9";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Pero el dice q es venezolano.. no peruano xd"
"1";"10";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Margarito 2.0"
"1";"11";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Excellent job congratulations"
"1";"12";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"😹😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Los inkas de Perú eran de ese tamaño. No sabía que los venezolanos también lo eran. Ese Chamo debería estar en la NBA."
"1";"13";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Biembenido a Choliwool país de las oportunidades para extranjeros"
"1";"14";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Carlos Jair CL mira xd"
"1";"15";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Dice el hombre mas alto de Perú... y es el hombre más alto .."
"1";"16";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Entonces no es de Peru"
"1";"17";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Convocalo Reynoso!!!"
"1";"18";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Apoyemos a la gente buena y trabajadora."
"1";"19";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Buen reportaje"
"1";"20";"1";"275543228626098";"data";"data.*";"fetched (200)";"2023-09-25 22:24:47.264522";"Facebook:/<post-id>/comments";"";"Inca ..bien  Aquí somos mayaman"
