"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"3190410627909197";"seed";"";"";"None";"None";"";""
"0";"2";"None";"690887478711245";"seed";"";"";"None";"None";"";""
"0";"3";"None";"580243363258960";"seed";"";"";"None";"None";"";""
"1";"4";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"Pero faltó agallas a los jugadores Peruanos, hubieran parado el partido no hubieran continuando jugando hasta que ese Arbritro  vaya a revisar el VAR  ..pero si guerrero hubiera estado ahí hubiera hecho un Chong.. no hubo liderazgo"
"1";"5";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"#FederacionPeruanadeFutbol Gestione este reclamo al #VAR!!! FUE GOL!!! ESTO ES UN ROBO!!!"
"1";"6";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"Que injusticia tenían que ser árbitro y el Bar brasileños cuánto habrán cobrado para que se hagan a los ciegos"
"1";"7";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"🤔Q tal injusticia y repugnancia qqqq vergüenza ajena 😤😠😡 falta el partido del martes con FÉ , ARRIBA PERÚ CA....JO! ESTO ES CONMEBOL DONDE SE JUEGA HASTA LAS ULTIMAS!"
"1";"8";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"Que vergüenza los de Uruguay celebrando como el var le dió los 3 puntos..... Simplemente corrupción de parte de árbitro y los del  VAR. No hay otra explicación a tremenda aberración...."
"1";"9";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"...el Perú entero está indignado ..nos robaron el partido y con el seguir rumbo a Quatar...llenandonos de sinsabor la acción injusta del árbitro brasileño de no consulta el VAR...los jugadores , técnicos, DT y el hincha hicieron lo suyo...pero una vez más por mala acción del arbitraje en eliminatorias nos quieren truncar nuestra ruta al mundial"
"1";"10";"1";"3190410627909197";"data";"data.*";"fetched (200)";"2023-10-10 22:18:55.862611";"Facebook:/<comment-id>/comments";"";"que injusticia, impotencia y tristeza cuando ante los ojos de todos es un robo 😥 si se gana ps se gana bien no de esa manera así sea Perú o cualquier otro país, pero se juega limpio y con justicia"
