"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1566138270158446";"seed";"";"";"None";"None";"";""
"0";"2";"None";"1510443892394551";"seed";"";"";"None";"None";"";""
"0";"3";"None";"1459212957517645";"seed";"";"";"None";"None";"";""
"0";"4";"None";"1399708133468128";"seed";"";"";"None";"None";"";""
"0";"5";"None";"1397431413695800";"seed";"";"";"None";"None";"";""
"0";"6";"None";"1382971395141802";"seed";"";"";"None";"None";"";""
"0";"7";"None";"1336678253104450";"seed";"";"";"None";"None";"";""
"0";"8";"None";"1314100442028898";"seed";"";"";"None";"None";"";""
"0";"9";"None";"1163953787043565";"seed";"";"";"None";"None";"";""
"0";"10";"None";"747972158641732";"seed";"";"";"None";"None";"";""
"1";"11";"10";"747972158641732";"data";"data.*";"fetched (200)";"2023-10-16 15:09:33.010458";"Facebook:/<comment-id>/comments";"";"Increible!!"
"1";"12";"10";"747972158641732";"data";"data.*";"fetched (200)";"2023-10-16 15:09:33.010458";"Facebook:/<comment-id>/comments";"";"breaking bad! 👍🏼"
"1";"13";"10";"747972158641732";"offcut";"";"fetched (200)";"2023-10-16 15:09:33.010458";"Facebook:/<comment-id>/comments";"";""
"1";"14";"1";"1566138270158446";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.250388";"Facebook:/<comment-id>/comments";"";"De primera 🥇 👏👏👏👏"
"1";"15";"1";"1566138270158446";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.250388";"Facebook:/<comment-id>/comments";"";"👏🏼👏🏼👏🏼👏🏼excelente!!"
"1";"16";"1";"1566138270158446";"offcut";"";"fetched (200)";"2023-10-16 15:09:43.250388";"Facebook:/<comment-id>/comments";"";""
"1";"17";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"ayy que bonita comiitiva!! Ale avisa cuando se junten"
"1";"18";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"¡Bravazo! el próximo partido la rompemos, ¡vamos Perú!!"
"1";"19";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"Bravazo el video ojala que el próximo sea ganador bendiciones"
"1";"20";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"Se sufre pero se goza, vamo PERÚ CARAJO!!"
"1";"21";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"q ricaaaa esa comitivaa"
"1";"22";"2";"1510443892394551";"data";"data.*";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";"Gabriela Beteta Pochet"
"1";"23";"2";"1510443892394551";"offcut";"";"fetched (200)";"2023-10-16 15:09:43.609505";"Facebook:/<comment-id>/comments";"";""
"1";"24";"3";"1459212957517645";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.110281";"Facebook:/<comment-id>/comments";"";"Buena Alessio Saveri !!!! Tienes que seguir con estas entrega de episodios de la serie viajera del tipo “Nos Vamos”"
"1";"25";"3";"1459212957517645";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.110281";"Facebook:/<comment-id>/comments";"";"me encanto!! <3"
"1";"26";"3";"1459212957517645";"offcut";"";"fetched (200)";"2023-10-16 15:09:44.110281";"Facebook:/<comment-id>/comments";"";""
"1";"27";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"como se llaman lo lugares?"
"1";"28";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"Que viva el Perú carajo"
"1";"29";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"Tierras peruanas lo máximo"
"1";"30";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"Magaly Porras"
"1";"31";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"Achoradaso"
"1";"32";"4";"1399708133468128";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";"Juan Pablo Pedroza Rosas mira la forna de edicion"
"1";"33";"4";"1399708133468128";"offcut";"";"fetched (200)";"2023-10-16 15:09:44.553270";"Facebook:/<comment-id>/comments";"";""
"1";"34";"5";"1397431413695800";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.899943";"Facebook:/<comment-id>/comments";"";"Si bro. Dejemos de usar plástico y empecemos a recilar por ahi se empieza"
"1";"35";"5";"1397431413695800";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.899943";"Facebook:/<comment-id>/comments";"";"Felicitaciones Alessio, bello reportaje"
"1";"36";"5";"1397431413695800";"data";"data.*";"fetched (200)";"2023-10-16 15:09:44.899943";"Facebook:/<comment-id>/comments";"";"Me encanta!!"
"1";"37";"5";"1397431413695800";"offcut";"";"fetched (200)";"2023-10-16 15:09:44.899943";"Facebook:/<comment-id>/comments";"";""
"1";"38";"6";"1382971395141802";"data";"data.*";"fetched (200)";"2023-10-16 15:09:45.315735";"Facebook:/<comment-id>/comments";"";"TROME!! 🔝🔝"
"1";"39";"6";"1382971395141802";"data";"data.*";"fetched (200)";"2023-10-16 15:09:45.315735";"Facebook:/<comment-id>/comments";"";"👍 👍"
"1";"40";"6";"1382971395141802";"data";"data.*";"fetched (200)";"2023-10-16 15:09:45.315735";"Facebook:/<comment-id>/comments";"";"Alonso"
"1";"41";"6";"1382971395141802";"offcut";"";"fetched (200)";"2023-10-16 15:09:45.315735";"Facebook:/<comment-id>/comments";"";""
"1";"42";"7";"1336678253104450";"empty";"";"error (400)";"2023-10-16 15:09:45.717134";"Facebook:/<comment-id>/comments";"";""
"1";"43";"7";"1336678253104450";"offcut";"";"error (400)";"2023-10-16 15:09:45.717134";"Facebook:/<comment-id>/comments";"";""
"1";"44";"8";"1314100442028898";"empty";"";"error (400)";"2023-10-16 15:09:46.047972";"Facebook:/<comment-id>/comments";"";""
"1";"45";"8";"1314100442028898";"offcut";"";"error (400)";"2023-10-16 15:09:46.047972";"Facebook:/<comment-id>/comments";"";""
"1";"46";"9";"1163953787043565";"empty";"";"error (400)";"2023-10-16 15:09:46.348635";"Facebook:/<comment-id>/comments";"";""
"1";"47";"9";"1163953787043565";"offcut";"";"error (400)";"2023-10-16 15:09:46.348635";"Facebook:/<comment-id>/comments";"";""
"1";"48";"10";"747972158641732";"data";"data.*";"fetched (200)";"2023-10-16 15:09:46.612753";"Facebook:/<comment-id>/comments";"";"Increible!!"
"1";"49";"10";"747972158641732";"data";"data.*";"fetched (200)";"2023-10-16 15:09:46.612753";"Facebook:/<comment-id>/comments";"";"breaking bad! 👍🏼"
"1";"50";"10";"747972158641732";"offcut";"";"fetched (200)";"2023-10-16 15:09:46.612753";"Facebook:/<comment-id>/comments";"";""
