"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1366933720819029";"seed";"";"";"None";"None";"";""
"0";"2";"None";"372635561746453";"seed";"";"";"None";"None";"";""
"0";"3";"None";"788179439068967";"seed";"";"";"None";"None";"";""
"0";"4";"None";"606867350811598";"seed";"";"";"None";"None";"";""
"0";"5";"None";"587390379522597";"seed";"";"";"None";"None";"";""
"0";"6";"None";"463295285805990";"seed";"";"";"None";"None";"";""
"0";"7";"None";"1217886132370204";"seed";"";"";"None";"None";"";""
"0";"8";"None";"462075105740076";"seed";"";"";"None";"None";"";""
"1";"9";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Major weonjajajajaja si lanzabas tu Gha te ibas viral más que el video xx"
"1";"10";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Cuando habrá programa?😞"
"1";"11";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Pa cuando volverán tus programas de los martes y jueves??? 🥺🥺🥺🥺"
"1";"12";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Que fue con makanaky"
"1";"13";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Que se van a conectar si ya no haces ni mrd p"
"1";"14";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Que fue con dj. Sin pescuezo"
"1";"15";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Que fue chupetin"
"1";"16";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Weed nas noches chupetin"
"1";"17";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Así dijiste que empezabas hace tiempo oe estafador"
"1";"18";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Con ese fondo musical corres gente loco."
"1";"19";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Kche ya"
"1";"20";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"excelente bro ahy somos"
"1";"21";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"CUANDO VUELVEN LAS LLAMADAS XD"
"1";"22";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Ok"
"1";"23";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"MAJOR * DOTA2  REY"
"1";"24";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Si..☺️☺️"
"1";"25";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Hola"
"1";"26";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"La risa sauuuuuuu"
"1";"27";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Gaaa"
"1";"28";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Siii"
"1";"29";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"!notify"
"1";"30";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Tmr tas que te cuelgues chupetín"
"1";"31";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Papurri te Vi en los vídeos de la casa de la comedia un mate de risa"
"1";"32";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Na"
"1";"33";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";"Chupetin que fue de las experiencias sexuales de edad y eso"
"1";"34";"1";"1366933720819029";"offcut";"";"fetched (200)";"2023-10-25 20:18:06.214940";"Facebook:/<comment-id>/comments";"";""
"1";"35";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Chupetinnn que fue las declaraciones"
"1";"36";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Chupete y el dj sin cuello"
"1";"37";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Amor"
"1";"38";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Yo sin poder dormir"
"1";"39";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Al inbox"
"1";"40";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Hola"
"1";"41";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Falta ls chama  para el calenton."
"1";"42";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Que fue chupetin"
"1";"43";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Oe eres de Aucayacu"
"1";"44";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Bota tu real  gaa..."
"1";"45";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Bb"
"1";"46";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Me"
"1";"47";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Chupetin ta que pareces c4br0 con ese arete porque ya tas tio"
"1";"48";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Chupetin gaa..."
"1";"49";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Chupetin masca pincho, ya hiciste el beso del payaso?"
"1";"50";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"De millones a 40 gatos"
"1";"51";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";""
"1";"52";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Por que no estuviste en la MAJOR DE DOTA2  LEE BIEN*"
"1";"53";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"🥰😍"
"1";"54";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"🥰🥰🥰"
"1";"55";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"9"
"1";"56";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";""
"1";"57";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"?"
"1";"58";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Cuenta una historia"
"1";"59";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";"Alamz causa"
"1";"60";"1";"1366933720819029";"offcut";"";"fetched (200)";"2023-10-25 20:18:07.066483";"Facebook:/<comment-id>/comments";"";""
"1";"61";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";"El otro mes makanaki patenta el GAAAAAA y nadie podrá usarlo."
"1";"62";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";"Chupete k fue de tu causa el demonio 🤣🤣🤣"
"1";"63";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";"Hola..."
"1";"64";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";"Que fue mi popurrí"
"1";"65";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";"GAA"
"1";"66";"1";"1366933720819029";"data";"data.*";"fetched (200)";"2023-10-25 20:18:07.374101";"Facebook:/<comment-id>/comments";"";""
