"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"966681297240235";"seed";"";"";"None";"None";"";""
"1";"2";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Se supone que esto me haga reir?"
"1";"3";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Creo que en su mente debió salir mejor y dar risa xd"
"1";"4";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Dayely Fernández  la otra samana bajo con chelas 🤣🤣🤣"
"1";"5";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Katherine Araujo ...aquí versión maryy...jajajaj"
"1";"6";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Yackelin Delgado  cuando vengo a tu cuarto ! Jajaja recuerdos 😂"
"1";"7";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Jajjaa pero esto me hace acordar ciertos tiemposJackelyne Navarro"
"1";"8";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Fatima Marquez  tan nosotras JAJAJAHHA"
"1";"9";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Rut Chavez  Bernard Roen TL   Dennísse AN   🤣🤣🤣🤣nose chic@s 🤣"
"1";"10";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Jsjjsjsj nena tu garganta 😂"
"1";"11";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";" Jajaja Cielo VR a veces somos así 🤣😆"
"1";"12";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Gina Oxas sí eres😂😂😂 con el trago en ma mochila pa todos lados😂😂😂"
"1";"13";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Maria R-t  Sam AD  jaja etiqueten ala Monchi 😂"
"1";"14";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Cataleya  Diana Berrocal  Carolane Sh  aquíen se parece? Jajajajaja "
"1";"15";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Nicole Molly  borracha :3"
"1";"16";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Crissel Magaly  jajaja recuerdo ese día gor!! Jaja"
"1";"17";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Felizmente Cobos se alejó, jaja 😄😄"
"1";"18";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Fiorella Alc mana tuu jjj"
"1";"19";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Yina Agurto  mnt nuestro caso 😎😂😁"
"1";"20";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Nayilly Bellido Añaños jajajaja la vida es para disfrutarla jajaja. Todo yo todo yo 😔😔, vamos a tomar🤣 🔥🔥"
"1";"21";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Yasmely Rios Nayeli Lv se van a mejorar altoqueee hvonas jajaja"
"1";"22";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Valerin Motta eres tú? 😂"
"1";"23";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Naomi Anthoanette cuando me cuidaba en Tacna :v xdxd somoss amiga😊🤗✨🤣✨😉siempre nena🤭✨"
"1";"24";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Fiorella Campos Rojas  ahí estas tu xd"
"1";"25";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Esa no es la leona loca de bingo ht jajaja "
"1";"26";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";"Bri Vela  somos el sábado ya sabes 💥💅"
"1";"27";"1";"966681297240235";"offcut";"";"fetched (200)";"2023-09-29 17:13:17.314547";"Facebook:/<post-id>/comments";"";""
"1";"28";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Mercedes Alcas tu 🤣🤣"
"1";"29";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Masziel Condori Lucas  tan nosotras amosh 🥳😈😈"
"1";"30";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Alexiia Realove🤣🤣🤣🤣tu caso wuevona 😂😂😂"
"1";"31";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Tania Ortega Criollo  Amegaaa jajaja 🤣❤"
"1";"32";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Astrid Ortega xddd 🤣"
"1";"33";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Ninoshka Estelo  jajaja tu tlv tmr jjajaja"
"1";"34";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Mireya Vilchez terrible 😂😂😂"
"1";"35";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Angella Gutierrez  tan tuyaaa"
"1";"36";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Stef Camino Alarcón a quien se parece ??"
"1";"37";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Ajajajajjja Alee  Lop asi somos"
"1";"38";"1";"966681297240235";"data";"data.*";"fetched (200)";"2023-09-29 17:13:17.636748";"Facebook:/<post-id>/comments";"";"Karina Oviedo tú xd"
