"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"281996471289785";"seed";"";"";"None";"None";"";""
"1";"2";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"A huevadas entrevistas"
"1";"3";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Yo igual trabajé en papa Jhons y hasta ahora no soy fanático de las pizzas jajaj"
"1";"4";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Confirmo! Me cansé de traerme 4 Bolsas llenas de pollo todos los días. 🤢"
"1";"5";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"confirmoooooo"
"1";"6";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Confirmo trabaje en restaurant y la comida al principio cevicje chicharrones arroz con marisco chaufita , al prinxipio todo rico. Ahora da cosas comerlo y massss si pagas ahi si no, busca otras opciones"
"1";"7";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Jajajajaja 7 años trabajando en kfc ya ni mis perritas querían comer ,menos mis papas ni el sr que cuida la cuadra 🤣🤣 yo igual no pise un kfc después q renuncie como 8 años y si como es solo original o hotwing  pero ufff creo q 1 vez al año  y pizza Hut, starbucks ,chilis, pinkberry,burguer,madamtusan igual , o mejor dicho todo lo que sea de la cadena ya comí tanto que ya me canse pero me quedan los mejores recuerdos fue mi primer trabajo y todo lo que he aprendido hasta el día de hoy es por la cultura y la base que me dejó haber trabajado ahí  el tener mi propio dinero ,estudiar saber lo que es pagar y tener responsabilidades  trabajar bajo presión, ser responsable con mi ingreso y cumplir las labores que me dejan, es en base a eso ,porque me formó para ser exigente conmigo misma."
"1";"8";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Me parece un comentario tan desubicado , claro ahora como por gracia de Dios le cayó esto del cielo ahora sí le da asco un trabajo que le dio de comer , a todo esto hay tantas personas que trabajan en cocina , en pollerías de todo tipo y creo que tengan ese concepto tan desatinado como el . Aprovechalo mientras te dure tu físico y ojalá sepas invertir porque si no volverás a eso que hoy desprecias ."
"1";"9";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Así conversación pueden quitar le lisura , pequeño detalle"
"1";"10";"1";"281996471289785";"data";"data.*";"fetched (200)";"2023-10-01 13:15:39.492921";"Facebook:/<comment-id>/comments";"";"Mi querido mario en todaas por eso lo quiero , porq viene desde abajo y tiene calle"
