"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"1552224468563350";"seed";"";"";"None";"None";"";""
"0";"2";"None";"564731385070561";"seed";"";"";"None";"None";"";""
"0";"3";"None";"314024817497937";"seed";"";"";"None";"None";"";""
"0";"4";"None";"300375908876259";"seed";"";"";"None";"None";"";""
"0";"5";"None";"961218317860741";"seed";"";"";"None";"None";"";""
"0";"6";"None";"427270015467242";"seed";"";"";"None";"None";"";""
"0";"7";"None";"611942069843126";"seed";"";"";"None";"None";"";""
"0";"8";"None";"185176289551650";"seed";"";"";"None";"None";"";""
"0";"9";"None";"839538813157009";"seed";"";"";"None";"None";"";""
"0";"10";"None";"397731117611468";"seed";"";"";"None";"None";"";""
"0";"11";"None";"457702058151530";"seed";"";"";"None";"None";"";""
"0";"12";"None";"722222688203647";"seed";"";"";"None";"None";"";""
"0";"13";"None";"2317520611857900";"seed";"";"";"None";"None";"";""
"0";"14";"None";"756233684749633";"seed";"";"";"None";"None";"";""
"0";"15";"None";"186661978925092";"seed";"";"";"None";"None";"";""
"0";"16";"None";"675979016113577";"seed";"";"";"None";"None";"";""
"0";"17";"None";"526203344486151";"seed";"";"";"None";"None";"";""
"0";"18";"None";"563079544094035";"seed";"";"";"None";"None";"";""
"1";"19";"1";"1552224468563350";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.224649";"Facebook:/<comment-id>/comments";"";"Cuánto está la consulta"
"1";"20";"1";"1552224468563350";"offcut";"";"fetched (200)";"2023-10-13 16:08:37.224649";"Facebook:/<comment-id>/comments";"";""
"1";"21";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Si gracias a un libro que me recomendaste hace tiempo he aprendido a validar las emociones de mi niña.  Pero también aplicando empatía. Es como se te rompe tu laptop y te digan no pasa nada."
"1";"22";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Y habrá algún libro aplicado  a la Adolecencia!!!! Me encantaría leer uno"
"1";"23";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Edgar Obregón Jara lo que te comentaba."
"1";"24";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Hetber Walter Tincopa mira amore"
"1";"25";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Jose Luis Vega"
"1";"26";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Victor"
"1";"27";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Omar Potóchnik"
"1";"28";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Tano Castro"
"1";"29";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Joshua Chavez Gonzales"
"1";"30";"2";"564731385070561";"data";"data.*";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";"Oscar Anton"
"1";"31";"2";"564731385070561";"offcut";"";"fetched (200)";"2023-10-13 16:08:37.827707";"Facebook:/<comment-id>/comments";"";""
"1";"32";"3";"314024817497937";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.333462";"Facebook:/<comment-id>/comments";"";"Tano Castro interesante"
"1";"33";"3";"314024817497937";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.333462";"Facebook:/<comment-id>/comments";"";"Lisbeth Barrera Clavo"
"1";"34";"3";"314024817497937";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.333462";"Facebook:/<comment-id>/comments";"";""
"1";"35";"3";"314024817497937";"offcut";"";"fetched (200)";"2023-10-13 16:08:38.333462";"Facebook:/<comment-id>/comments";"";""
"1";"36";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";"Hola, mi hijo va al nido y aceptó  ingresar solo al aula pero me pidió quedarme fuera del nido por si me necesitaba. Los 2 primero días  me quedé  fuera ya que el pedía  verme, no hablaba  con él  solo nos veíamos. Pero luego ya no salía y media hora antes de la salida pedía verme. Así  que desde el 3er día  lo dejo solo (mi hijo piensa que me sigo quedando fuera) y estoy media hora antes de la salida esperándolo. Cuando hablo con él me dice que aún  no está listo para quedarse solo  y que cuando sea la.hora el me dirá.  Yo no lo contradigo y permito que siga su proceso y tenga confianza para que nazca de él  pedirme que ya no lo espere fuera y que venga a la salida para recogerlo."
"1";"37";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";"Luis Quintana Bonifacio"
"1";"38";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";"Patricia Alarcon Kohel"
"1";"39";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";""
"1";"40";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";"Tano Castro"
"1";"41";"4";"300375908876259";"data";"data.*";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";"Nicole Ccamerccoa Diaz"
"1";"42";"4";"300375908876259";"offcut";"";"fetched (200)";"2023-10-13 16:08:38.929972";"Facebook:/<comment-id>/comments";"";""
"1";"43";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Tal cual, los adultos deciden y deben ser los primeros en respetar las reglas."
"1";"44";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Definitivamente la. Palabra de los padres debe ser ley. No sólo es en el. Caso de los abuelos sino también entre los. Padres que quieren ser uno mejor que el. Otro o quieren pintarse de ser el  más bueno"
"1";"45";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Felizmente no, mi suegra y mi mamá, si es que yo decía algo respetaban y hasta ahora lo hacen."
"1";"46";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Mi papá, full tofee hasta que daño el hígado y recién pudo parar😂😂😂"
"1";"47";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Jejeje  mi madre es el opuesto  🤣🤣🤣"
"1";"48";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Tal cual 🤦‍♀️🤦‍♀️"
"1";"49";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Que difícil...yo soy la abuela jeje"
"1";"50";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Ufffff"
"1";"51";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Para engreirlos"
"1";"52";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";""
"1";"53";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Alfredo Zevallos"
"1";"54";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Xiomaritha Figueroa Segundo Carmen Alvinco Silva Segundo Alvinco Silva Segundo Alvinco Silva"
"1";"55";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Rosa Maya Aguirre"
"1";"56";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Bruno Pezo Martínez"
"1";"57";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Eiko Oyakawa Moreno  Maritza Moreno"
"1";"58";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Soy abuela pero no me meto en las reglas,a veces ganas me dan pero recuerdo que a mí no me gustaba y además la que  no da dulces soy yo y me gustan los niños educados, mi nieto es un amor, travieso pero no malcriado."
"1";"59";"5";"961218317860741";"data";"data.*";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";"Luis Enrique Ato Cervantes"
"1";"60";"5";"961218317860741";"offcut";"";"fetched (200)";"2023-10-13 16:08:39.530199";"Facebook:/<comment-id>/comments";"";""
"1";"61";"6";"427270015467242";"data";"data.*";"fetched (200)";"2023-10-13 16:08:40.068790";"Facebook:/<comment-id>/comments";"";"Hermoso!!"
"1";"62";"6";"427270015467242";"offcut";"";"fetched (200)";"2023-10-13 16:08:40.068790";"Facebook:/<comment-id>/comments";"";""
"1";"63";"7";"611942069843126";"data";"data.*";"fetched (200)";"2023-10-13 16:08:40.666403";"Facebook:/<comment-id>/comments";"";"Muchas gracias, Licenciada👍👍😇"
"1";"64";"7";"611942069843126";"offcut";"";"fetched (200)";"2023-10-13 16:08:40.666403";"Facebook:/<comment-id>/comments";"";""
"1";"65";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Buenas noches,gran tema gracias por compartirlo y  quisiera preguntar como empezar? que métodos podríamos emplear, aparte de no ofrecer no negar"
"1";"66";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Buenas noches, mi bebé ya va cumplir dos años y estoy esperando otro bebé, estoy decidida al destete. Eh escuchado otro tipo de métodos como ponerse algo rojo en la teta esa es una buena opción??? Gracias muy buena informacion"
"1";"67";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Gracias por la información"
"1";"68";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Yizz-ela Elizabeth T. Laynes  lee esto, sigue los consejos 😊"
"1";"69";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Yo hice el destete con 21 meses de lactancia, lo básico en mi caso fue ir explicándolo y cuando llegó el día de no más teta, no echarse para atrás. Mi bebé me entendió estuvo tranquilo y no lloró, hasta que cometí el error de darle la teta en la madrugada porque me ganó la flojera (podría haberlo arrullado pero tome la opción fácil), al día siguiente lloraba y no sabía que hacer, solo tuve que tener mucha paciencia, hablarle, abrazarlo cargarlo y más paciencia, hasta que encontré un modo de hacerlo dormir sin llorar, las rutinas."
"1";"70";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Mi bebé tiene 2 años 🥹❤️ pero por trabajo es urgente el desteste, cuando tiempo dura el desteste aproximadamente porfavor gracias"
"1";"71";"8";"185176289551650";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";"Diana Ch"
"1";"72";"8";"185176289551650";"offcut";"";"fetched (200)";"2023-10-13 16:08:41.194572";"Facebook:/<comment-id>/comments";"";""
"1";"73";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Talía el mío ya sabe hacer pila en el baño (a veces parado y otras sentado), pero aún no pide ir al baño, las veces que lo he dejado sin pañal (2 dias) se hace la pila. Como debo tomar eso? Sigo intentando?  Aún no anticipa y debo continuar con el pañal? Tiene 2.9 años. Muchas gracias!!"
"1";"74";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Tuve muy mala experiencia quitandole el pañal a mi 1 hijo por mas que intente hacerlo con amor fue tan traumante para el que nunca termino de controlar sus necesidades hasta el dia de hoy estamos en proceso😢"
"1";"75";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Muy lindo su consejo en mujeres al mando sobre las rabietas, berinches de los niños ✌🏻"
"1";"76";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Hola <3 Quisiera hacer una pregunta que no tiene que ver co el tema. Yo tengo gemelos, y hace poco vieron a una niña que le gusta golpear, morder y jalar el cabello. Ellos ahora han aprendido a hacer lo mismo y a veces pelean entre ellos. Como puedo lograr que entiendan o como puedo enseñarles a que no se peguen o lastimen entre ellos o al resto?"
"1";"77";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Gracias por la información 💜"
"1";"78";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Hola, mi hijo tiene 2.8 reúne todas las características, además el pañal en la noche amanece SECO, pero cuando le digo vamos al bacin amor ❤️ y hacemos el baile del niño grande 🥳🥳 me dice: NO, GRACIAS. YO QUIERO MI PAÑAL"
"1";"79";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Eso es normal??"
"1";"80";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Mi hija cumple con los dos ultimos requisitos, pero aún no se anticipa, tambien la proxima semana empieza el nido. Ella se saca el pañal hasta de noche y siempre tiene la curiosidad de ir al baño si yo voy. Tiene 1 año 9 meses."
"1";"81";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Con mi hijo fue super fácil, lo dejo a los 2 años y un mes, ya había dejado el.pañal de día y en esos días me operaban de mi segunda hija, cuando regresé ya habia dejado el pañal de noche también, mi esposo un capo... aunque tuvimos algunos accidentes un par de noches, gracias a Dios aprendió muy rápido..."
"1";"82";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Christian Edward"
"1";"83";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Paulo Bardalez"
"1";"84";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Veronica Soto Ccoicca Melissa D. Diaz"
"1";"85";"9";"839538813157009";"data";"data.*";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";"Erick Guerrero"
"1";"86";"9";"839538813157009";"offcut";"";"fetched (200)";"2023-10-13 16:08:41.999562";"Facebook:/<comment-id>/comments";"";""
