"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"2798333500245120";"seed";"";"";"None";"None";"";""
"0";"2";"None";"353389678854340";"seed";"";"";"None";"None";"";""
"0";"3";"None";"2082053655380424";"seed";"";"";"None";"None";"";""
"0";"4";"None";"2080038578915265";"seed";"";"";"None";"None";"";""
"0";"5";"None";"2076089472643509";"seed";"";"";"None";"None";"";""
"0";"6";"None";"2029439273975196";"seed";"";"";"None";"None";"";""
"0";"7";"None";"1988638528055271";"seed";"";"";"None";"None";"";""
"0";"8";"None";"1917749655144159";"seed";"";"";"None";"None";"";""
"0";"9";"None";"1786438281608631";"seed";"";"";"None";"None";"";""
"0";"10";"None";"1736444589941334";"seed";"";"";"None";"None";"";""
"0";"11";"None";"1709692555949871";"seed";"";"";"None";"None";"";""
"0";"12";"None";"1703869396532187";"seed";"";"";"None";"None";"";""
"1";"13";"1";"2798333500245120";"data";"data.*";"fetched (200)";"2023-10-13 16:10:33.466395";"Facebook:/<comment-id>/comments";"";""
"1";"14";"1";"2798333500245120";"offcut";"";"fetched (200)";"2023-10-13 16:10:33.466395";"Facebook:/<comment-id>/comments";"";""
"1";"15";"2";"353389678854340";"empty";"";"error (400)";"2023-10-13 16:10:34.350327";"Facebook:/<comment-id>/comments";"";""
"1";"16";"2";"353389678854340";"offcut";"";"error (400)";"2023-10-13 16:10:34.350327";"Facebook:/<comment-id>/comments";"";""
"1";"17";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"Cual es la tienda y donde qudda"
"1";"18";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"En que distrito"
"1";"19";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"Ubicacion"
"1";"20";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"💓💓💓"
"1";"21";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"Cathy Zárate👀"
"1";"22";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"Victor Hugo Escudero Aliaga vamosss"
"1";"23";"3";"2082053655380424";"data";"data.*";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";"Amanda Huaman cheka"
"1";"24";"3";"2082053655380424";"offcut";"";"fetched (200)";"2023-10-13 16:10:34.771790";"Facebook:/<comment-id>/comments";"";""
"1";"25";"4";"2080038578915265";"data";"data.*";"fetched (200)";"2023-10-13 16:10:35.359238";"Facebook:/<comment-id>/comments";"";"Será verdad porque cuando uno va a la tienda no es verdad y todo esta caro"
"1";"26";"4";"2080038578915265";"data";"data.*";"fetched (200)";"2023-10-13 16:10:35.359238";"Facebook:/<comment-id>/comments";"";"Hay casacas de “cuero” en descuento?"
"1";"27";"4";"2080038578915265";"data";"data.*";"fetched (200)";"2023-10-13 16:10:35.359238";"Facebook:/<comment-id>/comments";"";"Habrá cosas para niños en descuento ??"
"1";"28";"4";"2080038578915265";"data";"data.*";"fetched (200)";"2023-10-13 16:10:35.359238";"Facebook:/<comment-id>/comments";"";"Donde queda"
"1";"29";"4";"2080038578915265";"data";"data.*";"fetched (200)";"2023-10-13 16:10:35.359238";"Facebook:/<comment-id>/comments";"";"Cual zara?"
