"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"822620468191264";"seed";"";"";"None";"None";"";""
"0";"2";"None";"2484614608528077";"seed";"";"";"None";"None";"";""
"0";"3";"None";"2344295595821143";"seed";"";"";"None";"None";"";""
"0";"4";"None";"2285758331550845";"seed";"";"";"None";"None";"";""
"0";"5";"None";"676206976187597";"seed";"";"";"None";"None";"";""
"0";"6";"None";"394072837976220";"seed";"";"";"None";"None";"";""
"0";"7";"None";"976867636014133";"seed";"";"";"None";"None";"";""
"0";"8";"None";"567655187099377";"seed";"";"";"None";"None";"";""
"0";"9";"None";"2899491306792694";"seed";"";"";"None";"None";"";""
"0";"10";"None";"679228535879757";"seed";"";"";"None";"None";"";""
"0";"11";"None";"1718375328295802";"seed";"";"";"None";"None";"";""
"0";"12";"None";"772974569767349";"seed";"";"";"None";"None";"";""
"0";"13";"None";"2305851292834061";"seed";"";"";"None";"None";"";""
"0";"14";"None";"436929053541470";"seed";"";"";"None";"None";"";""
"0";"15";"None";"2209887865769690";"seed";"";"";"None";"None";"";""
"0";"16";"None";"296038887751697";"seed";"";"";"None";"None";"";""
"0";"17";"None";"312192109651670";"seed";"";"";"None";"None";"";""
"0";"18";"None";"1410512725751128";"seed";"";"";"None";"None";"";""
"0";"19";"None";"416675859073564";"seed";"";"";"None";"None";"";""
"0";"20";"None";"416823179054239";"seed";"";"";"None";"None";"";""
"0";"21";"None";"524499831404639";"seed";"";"";"None";"None";"";""
"0";"22";"None";"2314955605242974";"seed";"";"";"None";"None";"";""
"0";"23";"None";"2038831792850553";"seed";"";"";"None";"None";"";""
"0";"24";"None";"492257744595422";"seed";"";"";"None";"None";"";""
"0";"25";"None";"778694835818291";"seed";"";"";"None";"None";"";""
"0";"26";"None";"288951975068303";"seed";"";"";"None";"None";"";""
"0";"27";"None";"598958343907395";"seed";"";"";"None";"None";"";""
"0";"28";"None";"396155877588589";"seed";"";"";"None";"None";"";""
"0";"29";"None";"159585118317193";"seed";"";"";"None";"None";"";""
"0";"30";"None";"933455396839025";"seed";"";"";"None";"None";"";""
"0";"31";"None";"1033174963526943";"seed";"";"";"None";"None";"";""
"0";"32";"None";"972597949584645";"seed";"";"";"None";"None";"";""
"0";"33";"None";"970254066485700";"seed";"";"";"None";"None";"";""
"0";"34";"None";"963583930486047";"seed";"";"";"None";"None";"";""
"0";"35";"None";"962770117234095";"seed";"";"";"None";"None";"";""
"0";"36";"None";"961876667323440";"seed";"";"";"None";"None";"";""
"0";"37";"None";"958726200971820";"seed";"";"";"None";"None";"";""
"1";"38";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Ya bastaaaaa"
"1";"39";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Cuando la gente progresa, la envidia ataca.  No les haga caso señor OSCAR usted siga adelante y que bueno q pida disculpas ya que hay mucha gente que la boca les pesa para pedir disculpas. Muchas bendiciones.💋"
"1";"40";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Óscar tranquilo eres humano y te exhaltaste ante algo que tus principios consideran como injusticia, perdiste los papeles y te equivocaste pero pediste disculpas al instante, eres un líder de opinión y muchos nos sentimos identificados contigo por la forma como te manejas y tus opiniones imparciales sobre los temas candentes del deporte. De los errores se aprende y para adelante Óscar un fuerte abrazo."
"1";"41";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"No tienes porque pedir disculpas Oscar, todos sabemos que hay malos elementos en la Policia el cual hacen abuso de autoridad, ,,,,,, felicitaciones porque no tienes pelos en la lengua y dices las cosas tal y como son ,,,"
"1";"42";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Recuerdo ese programa y las disculpas posteriores. Nada que decir Oscar. Idiotas hay en todos lados, sigue adelante"
"1";"43";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Hay muchas personas malas Óscar Del portal que te van a querer ser daño lo importante es que has pedido disculpas dos veces, esto también va para la policía que otra vez sepan actuar ante un problema así porque no fue justo que agan eso con esa señora"
"1";"44";"1";"822620468191264";"data";"data.*";"fetched (200)";"2023-10-08 08:12:09.022041";"Facebook:/<comment-id>/comments";"";"Te suena el termino cortina de humo? En este caso tu eres el q paga los platos rotos por algo q quieren hacer q la gente no mire"
