"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"670691113929781";"seed";"";"";"None";"None";"";""
"1";"2";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Y a quien le interesa tu pequeña vida"
"1";"3";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Esa palabra NADA NADA NADA NADA NADA .... ES LO UNICO QUE SABEN DECIR !!!!"
"1";"4";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Noo eres famosa ,así q no publikes algo q ndie le interesan"
"1";"5";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Quien es???"
"1";"6";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Porque tanto dicen Naada nada nada nada nada"
"1";"7";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Kien es esta chica??"
"1";"8";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"osea querias tener un bebe ya??? 🤔 porque si dejaste de cuidarte obviamente ibas a salir embarazada Mama joven ☺️"
"1";"9";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Harás un gran trabajo con tu bebita, bendiciones y a tener mucha paciencia! Lo último que te puedo decir abrázala, bésala, cárgala, déjala dormir en tu pecho y más es una hermosa etapa 💕"
"1";"10";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Igual el caso de mi hermn gemela ... Le paso casi similar yo me quedé en shook 😉😱"
"1";"11";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Osea que fue un embarazo que no lo esperabas .."
"1";"12";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Hajaja me hace. Reir PUBLICO  solo entiendo nada nada"
"1";"13";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Linda éxitos para tu bebita y tu 💕 sigue para delante"
"1";"14";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Qué suerte tienes tu que tus padres te comprenden y te hayan dicho eso"
"1";"15";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Q linda la nena, pero para una próxima apunta en tu diario lo q vas a contarnos 😅 ya nació igual felicidades😊"
"1";"16";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Jajjjaaja sé q es la hermana de Patricio, pero como se llama ella ?? Y quién es el padre de su bendición? Cómo se hizo 'popular ""?? A q se dedica ? No es hate , pero en serio quien es ella ??"
"1";"17";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Hermosaaa. Felicidades❤"
"1";"18";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Hermosa hermana de patricio parody bendiciones en tu nueva etapa muak"
"1";"19";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Y nada y nada y nada"
"1";"20";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Qué bueno que te apoya tu familia. Un bb siempre es bien venido, mucha suerte y bendiciones"
"1";"21";"1";"670691113929781";"data";"data.*";"fetched (200)";"2023-10-09 21:25:22.293449";"Facebook:/<comment-id>/comments";"";"Muchas felicidades🎉🎈"
