nro,Jerga,tipo,descripción corta,Descripción,fuente
1,Pe,Jerga,Pues,"""Pe"", por su parte, no es otra cosa que la versión peruana del ""pues"" o el ""po"" chileno. Generalmente va al final de la frase en casos como ""¿Qué pasa, pe?"" o ""Nos vemos el sábado / Ya, pe"".",https://www.bbc.com/mundo/noticias-50213086
2,Oe,Jerga,Oye,"""Oe"" es el ""oye"" u ""oíme"" que en otros países hispanohablantes usan al interactuar con otra persona: ""¡Oe! ¿Y qué quieres hacer?"" o ""Pero hazme caso, oe"".",https://www.bbc.com/mundo/noticias-50213086
3,Lechero,Jerga,mucha suerte,Dicese de aquella persona que tiene mucha suerte / tambien se le dice a aquella persona que le gusta tener mucho sexo,https://www.bbc.com/mundo/noticias-50213086
4,Lenteja,Jerga,muy lento,Persona u objeto lento.,https://www.bbc.com/mundo/noticias-50213086
5,Tirarse la pera,expresión,ausentarse,Faltar injustificadamente al centro de trabajo o estudios,https://www.bbc.com/mundo/noticias-50213086
6,que piña,Jerga,mala suerte,"Ser desafortunado, tener mala suerte.",https://www.bbc.com/mundo/noticias-50213086
7,que palta,expresión,vergüenza,que vergüenza,https://www.bbc.com/mundo/noticias-50213086
8,Estar chihuan,expresión,no tener dinero,Tener poco dinero.,https://www.bbc.com/mundo/noticias-50213086
9,misio,Jerga,sin dinero,"(Adj) pobre, sin solvencia económica",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
10,estar aguja,expresión,no tener dinero,Estar sin dinero o ajustado económicamente.,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
11,asu mare,Jerga,guau,expresión de asombro,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
12,está en algodón,expresión,es aceptable,"Aceptable , bueno",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
13,pasa piola,Jerga,aceptable,"Aceptable , bueno",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
14,quedarse jato,expresión,quedarse dormido,quedarse dormido,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
15,jatito,Jerga,casita,descripción de casa pequeña,https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
16,piñata,Jerga,mala suerte,"Ser desafortunado, tener mala suerte.",https://www.lima2019.pe/magazine/milco-guia-las-jergas-peruanas-mas-usadas-para-entendernos-en-lima2019
